Entity Type,Title,Description,Topic,Subject Area,Score
,Navigation et révision de documents dans Word 2013,"
Les fonctionnalités offertes par Word 2013 facilitent la navigation, la recherche et la révision des documents. Le volet de navigation et la fonction Rechercher et Remplacer permettent de rechercher rapidement un texte dans un document, remplacer une ou toutes les instances de ce texte, ou d'accéder à un titre, une section, une page, un graphique spécifique, etc. Pour vous aider à créer des documents professionnels, sans faute d'orthographe et de grammaire, utilisez les Options de correction automatique et personnaliser les options correspondantes selon vos besoins. Lorsque vous participez à la création de documents, vous pouvez utiliser les nombreuses fonctions de révision pour suivre les modifications et gérer les commentaires facilement. Ce cours explique comment rechercher et naviguer dans un document, réorganiser des titres dans un document, configurer les paramètres de correction automatique et personnaliser les options d'orthographe et de grammaire. L'utilisation des commentaires, le suivi des modifications et les marques de révision sont également abordés. Ce cours aide à préparer l'examen de certification Microsoft 77-418 : Word 2013 qui délivre une certification de MOS (Microsoft Office Specialist) : Word 2013
Langue: Français",microsoft office,Fundamental Skills,0.9984798
,Ajustement des affichages de documents et personnalisation de l'apparence de Word 2013,"
Lorsque vous travaillez avec des documents dans Word 2013, vous pouvez très facilement effectuer un zoom avant sur votre texte et modifier l'affichage, et ainsi bénéficier d'un plus grand confort. Ce cours vous explique la fonction zoom, mais aussi comment fractionner et organiser plusieurs documents dans une même zone de travail. Il vous montre également comment basculer entre les différents affichages de documents, réorganiser un plan de document et utiliser des documents maîtres et des sous-documents pour faciliter le travail avec des documents volumineux ou peu maniables. Il explique également comment personnaliser le ruban et la barre d'outils Accès rapide pour que toutes les commandes dont vous avez besoin soient accessibles d'un simple clic de souris. Ce cours aide à préparer l'examen de certification Microsoft 77-418 : Word 2013 qui délivre une certification de MOS (Microsoft Office Specialist) : Word 2013.
Langue: Français",microsoft office,Fundamental Skills,0.9981509
,Compartir y colaborar en Word 2013,"
Word 2013 permite compartir documentos y colaborar en ellos de diversas maneras. Para proteger un documento, puede marcarlo como final y hacer que sea de solo lectura, cifrarlo con una contraseña e, incluso, determinar quién puede editarlo y qué cambios pueden realizarse en él. En este curso, se explorarán estos conceptos y otros, incluidos, por ejemplo, cómo restaurar versiones de borrador de documentos y cómo compartir a través de correo electrónico o OneDrive. También se explica cómo trabajar en Word con documentos PDF y cómo trabajar con blogs. Este curso ayudará a los estudiantes a prepararse para el examen de Microsoft Certification 77-418: Word 2013, que certifica a los estudiantes como Microsoft Office Specialist (MOS): Word 2013.
Idioma: Español",microsoft office,Fundamental Skills,0.9987583
,Innovation Mastery: Preparing for Speed ,"COURSE DESCRIPTION:

The Innovation Mastery curriculum is devised to cover the three most relevant areas to achieve our MDLZ goals for innovation: bigger, faster, more profitable growth.

Session 2: Preparing for Speed – Available Dec 2016 allows employees to learn how to master your business, your assets and your working style to remove barriers, manage organizational influences, and increase speed of innovation.

PREREQUISITES:

Prior attending this virtual instructor-led course, please enroll first to and finish:

1. Innovation Basics (e-learning), and

2. Innovation Practitioner (face-to-face training).

REMINDERS:

Some training require manager approval to move to Enrolled status. Once enrolled, you will receive a registration confirmation email with Outlook calendar attachments which you need to Accept. You cannot withdraw from a course via Outlook and would need to do this by logging in to the MIU Learning Catalogue. Make sure you discuss with your manager prior enrolling into any scheduled offering.

For assistance with MIU Learning Catalogue issues, our support process is as follows:

-       If you experience an issue once inside the MIU Learning Catalogue, please refer to the Learning Catalogue Troubleshooting Guide (English only) or contact your HR Representative as follows:

          o    In countries supported by MBS Employee Services, please open an Online HR Request using category:  My Career / Learning & Development (MIU)

          o    In countries NOT supported by MBS Employee Services, please contact your local HR Solutions team. 

-     If your HR Representative cannot resolve the issue, they will communicate with the Global Learning Management team on your behalf.",creativity and innovation,,keyword match
,Partage et collaboration dans Word 2013,"
Word 2013 permet de partager et de collaborer sur des documents de différentes manières. Pour protéger un document, il est possible de le marquer comme final, de le passer en lecture seule, d'y ajouter un mot de passe. Il est aussi possible d'en modifier l'auteur et de choisir les modifications qu'il est possible d'y apporter. Ce cours présente ces concepts et montre comment restaurer des brouillons de documents et partager des documents à l'aide de la messagerie ou de OneDrive. Il indique également comment utiliser des documents PDF dans Word ainsi que des blogs. Ce cours aide à préparer l'examen de certification Microsoft 77-418 : Word 2013 qui délivre une certification de MOS (Microsoft Office Specialist) : Word 2013.
Langue: Français",collaboration,Fundamental Skills,0.97561795
,"Crear libros, hojas de cálculo y datos en Excel 2013","
Excel 2013 permite crear hojas de cálculo y libros para administrar y manipular datos de manera más fácil. Permite cortar, copiar y pegar datos. También permite navegar entre celdas de datos y hojas de cálculo. Además de administrar los datos a este nivel, permite agrupar, codificar por colores y organizar las hojas de cálculo que se encuentran dentro del libro. En este curso, aprenderá a crear y abrir libros, desplazarse en Excel 2013, mover datos y organizar las hojas de cálculo. Este curso ayudará a los estudiantes a prepararse para el examen de Microsoft Certification 77-420: Excel 2013, el cual certifica a los estudiantes como Microsoft Office Specialist (MOS): Excel 2013.
 
Idioma: Español",microsoft office,Fundamental Skills,0.9988695
,Guardar e imprimir datos en Excel 2013,"
Excel 2013 facilita las tareas de guardar e imprimir libros y hojas de cálculo. Al crear un libro de Excel, es muy probable que desee guardarlo y, en muchos casos, imprimirlo para obtener una copia impresa o compartirlo con alguien más. Puede guardar el archivo en varios formatos, ya que Excel 2013 es compatible con distintos tipos de archivo. En esta curso, se abordará cómo guardar datos y preparar la impresión, incluidas las tareas de configurar opciones de impresión; configurar la página; imprimir títulos, crear encabezados y pies de página y crear encabezados de fila y de columna. Este curso ayudará a los estudiantes a prepararse para el Examen de Microsoft Certification 77-420: Excel 2013, el cual certifica a los estudiantes como Microsoft Office Specialist (MOS): Excel 2013.
 
Idioma: Español",microsoft office,Fundamental Skills,0.9994566
,Innovation Mastery: Designing for Profitability,"COURSE DESCRIPTION:

The Innovation Mastery curriculum is devised to cover the three most relevant areas to achieve our MDLZ goals for innovation: bigger, faster, more profitable growth.

Session 3: Designing for Profitability – coming in 2017 allows employees to learn how to use design principles for maximizing profitability at each stage of innovation development. Sweat the concept, DTV, and outside in.

PREREQUISITES:

Prior attending this virtual instructor-led course, please enroll first to and finish:

1. Innovation Basics (e-learning), and

2. Innovation Practitioner (face-to-face training).

REMINDERS:

Some training require manager approval to move to Enrolled status. Once enrolled, you will receive a registration confirmation email with Outlook calendar attachments which you need to Accept. You cannot withdraw from a course via Outlook and would need to do this by logging in to the MIU Learning Catalogue. Make sure you discuss with your manager prior enrolling into any scheduled offering.

For assistance with MIU Learning Catalogue issues, our support process is as follows:

-       If you experience an issue once inside the MIU Learning Catalogue, please refer to the Learning Catalogue Troubleshooting Guide (English only) or contact your HR Representative as follows:

          o    In countries supported by MBS Employee Services, please open an Online HR Request using category:  My Career / Learning & Development (MIU)

          o    In countries NOT supported by MBS Employee Services, please contact your local HR Solutions team. 

-     If your HR Representative cannot resolve the issue, they will communicate with the Global Learning Management team on your behalf.",profitability,,keyword match
,Enregistrement et impression de données dans Excel 2013,"
Avec Excel 2013, il est très simple d'enregistrer et d'imprimer des classeurs et des feuilles de calcul. Lorsque vous créez un classeur Excel, vous allez la plupart du temps l'enregistrer et aussi l'imprimer pour en conserver une copie au format papier ou pour le donner à quelqu'un d'autre. Excel 2013 prenant charge de nombreux types de fichier, il est possible d'enregistrer des documents dans différents formats. Ce cours indique comment enregistrer des données et les préparer pour l'impression. Il montre aussi comment définir des options d'impression, une mise en page, l'impression des titres, des en-têtes et des pieds de page, ainsi que des en-têtes de lignes et de colonnes. Ce cours aide à préparer l'examen de certification Microsoft 77-420 : Excel 2013, qui délivre une certification MOS (Microsoft Office Specialist) : Excel 2013
Langue: Français",microsoft office,Fundamental Skills,0.99936384
,Aplicar formato a celdas y hojas de cálculo en Excel 2013,"
Excel 2013 proporciona varias herramientas y características que permiten mejorar la apariencia de las hojas de cálculo y los libros. Los datos y las celdas se pueden manipular y personalizar con diferentes características de colocación y formato. Este curso explora cómo aplicar formato a celdas y texto usando herramientas como Copiar formato. Muestra cómo cambiar la apariencia del texto para que sea más llamativo, incluidas las funciones aplicar formato a fuentes y aplicar bordes y rellenos. Este curso también cubre cómo alinear y orientar datos y cómo combinar y separar celdas. Este curso ayudará a los estudiantes a prepararse para el examen de Microsoft Certification 77-420: Excel 2013, el cual certifica a los estudiantes como Microsoft Office Specialist (MOS): Excel 2013.
 
Idioma: Español",microsoft office,Fundamental Skills,0.99929893
,Aplicar formato a datos en Excel 2013,"
Excel 2013 proporciona varias herramientas y características que permiten mejorar la apariencia de los datos, rellenar datos automáticamente y crear hipervínculos a varios lugares. Este curso cubre la aplicación de formato a números como moneda, fecha y porcentaje. También cubre las maneras para rellenar datos automáticamente por medio de Autorrellenar y Relleno rápido. Por último, este curso cubre la creación de hipervínculos a un sitio web, a otro lugar del libro, a un nuevo documento y a un correo electrónico. Este curso ayudará a los estudiantes a prepararse para el Examen de Microsoft Certification 77-420: Excel 2013, el cual certifica a los estudiantes como Microsoft Office Specialist (MOS): Excel 2013.
Idioma: Español",microsoft office,Fundamental Skills,0.9993148
,Presentar datos con formato condicional y minigráficos en Excel 2013,"
Excel 2013 proporciona herramientas que permiten presentar los datos de manera eficaz y también que los datos sean más fáciles de entender. El formato condicional permite resaltar las tendencias y las excepciones en celdas o rangos de celdas presentando los datos identificados de muchas maneras únicas para hacer que se destaquen. Los minigráficos son pequeños gráficos en una celda que proporcionan una representación visual de los datos y se pueden utilizar para mostrar tendencias con una mejor apariencia visual. Este curso abarca la aplicación de formato condicional y la creación de reglas personalizadas y minigráficos básicos y avanzados. Este curso ayudará a los estudiantes a prepararse para el Examen de Microsoft Certification 77-420: Excel 2013, el cual certifica a los estudiantes como Microsoft Office Specialist (MOS): Excel 2013.
Idioma: Español",microsoft office,Fundamental Skills,0.99918646
,"Présentation de données à l'aide de la mise en forme conditionnelle, des tableaux et des graphiques","
Excel 2013 propose des outils permettant de présenter vos données de manière efficace et de les rendre faciles à comprendre. La mise en forme conditionnelle permet de souligner des tendances et des exceptions dans des cellules ou des plages de cellules en présentant les données identifiées dans un certain nombre de manières uniques permettant de les faire ressortir. Les graphiques sparkline sont de petits graphiques contenus dans une cellule. Ils fournissent une représentation visuelle des données et peuvent être utilisés pour illustrer des tendances de manière attrayante. Ce cours explique comment appliquer la mise en forme conditionnelle, créer des règles personnalisées et créer des graphiques sparkline de base et avancés. Ce cours aide à préparer l'examen de certification Microsoft 77-420 : Excel 2013, qui délivre une certification MOS (Microsoft Office Specialist) : Excel 2013.
Langue: Français",microsoft office,Fundamental Skills,0.9988212
,Exécution de calculs à l'aide des fonctions d'Excel 2013,"
Excel 2013 fournit les outils nécessaires pour réaliser des calculs à partir des données d'un classeur. Être capable d'utiliser des formules pour réaliser des calculs compliqués permet non seulement de simplifier votre travail, mais aussi de réduire le nombre d'erreurs susceptibles de découler de telles opérations complexes. Ce cours présente les concepts et la terminologie de base associés aux formules et fonctions. Il présente également diverses manières de se référer aux cellules et plages de cellules, et explique comment utiliser des fonctions basiques, notamment les fonctions logiques et de type SI. Ce cours aide à préparer l'examen de certification Microsoft 77-420 : Excel 2013, qui délivre une certification MOS (Microsoft Office Specialist) : Excel 2013.
Langue: Français",microsoft office,Fundamental Skills,0.9994716
,Presentar datos en tablas y gráficos en Excel 2013,"
Con las características de tablas y gráficos de Excel 2013, puede crear representaciones atractivas y bien organizadas de los datos de una hoja de cálculo o un libro. Los gráficos y las tablas se pueden insertar y personalizar fácilmente. En este curso, explicaremos cómo usar y personalizar tablas y gráficos de forma eficaz en Excel 2013, observaremos los distintos tipos de gráficos y tablas disponibles y la mejor forma de usarlos. Este curso también muestra cómo cambiar los distintos elementos de una tabla o un gráfico para visualizar sus datos de manera efectiva. Este curso ayudará a los estudiantes a prepararse para el Examen de Microsoft Certification 77-420: Excel 2013, el cual certifica a los estudiantes como Microsoft Office Specialist (MOS): Excel 2013.
Idioma: Español",microsoft office,Fundamental Skills,0.9992494
,Présentation de données dans des tableaux et des graphiques dans Excel 2013,"
Les fonctionnalités de tableau et de graphiques d'Excel 2013 permettent de créer des représentations attrayantes et bien organisées des données des feuilles de calcul et des classeurs. Les tableaux et les graphiques peuvent être facilement insérés et personnalisés. Ce cours explique comment utiliser et personnaliser efficacement des tableaux et des graphiques dans Excel 2013. Il explore les styles de tableaux et les types de graphiques disponibles, ainsi que le meilleur moyen d'utiliser chacun d'entre eux. Enfin, ce cours montre comment modifier les différents éléments d'un tableau ou d'un graphique afin de visualiser les données de manière efficace. Ce cours aide à préparer l'examen de certification Microsoft 77-420 : Excel 2013, qui délivre une certification MOS (Microsoft Office Specialist) : Excel 2013.
Langue: Français",microsoft office,Fundamental Skills,0.96036744
,Trabajar con correos electrónicos en Outlook 2013,"
Outlook 2013 es la versión más reciente del cliente de mensajería principal de Microsoft. Outlook ofrece todas las herramientas necesarias para administrar correos electrónicos, programar tareas y comunicaciones. Este curso aborda las características y funciones básicas de Outlook 2013: cómo navegar por Outlook 2013, visualizar y responder correos electrónicos entrantes y crear nuevos mensajes de correo. Este curso ayudará a los estudiantes a prepararse para el examen de Microsoft Certification 77-423: Outlook 2013, que certifica a los estudiantes como Microsoft Office Specialist (MOS): Outlook 2013.
Idioma: Español",microsoft outlook,Fundamental Skills,0.9816219
,Gestion des messages électroniques dans Outlook 2013,"
Ce cours explique comment utiliser des pièces jointes et ajouter des signatures à vos messages dans Outlook 2013. Il aborde également la gestion des messages électroniques à l'aide des options de classement, de filtre, d'impression et de suppression. Ce cours présente également les différentes façons de personnaliser votre boîte de réception dans Outlook 2013, par exemple en modifiant les paramètres d'aperçu des messages et en ajustant le volet de lecture et le volet de personnes. Il aide à préparer l'examen de certification Microsoft 77-423 : Outlook 2013, qui délivre une certification MOS (Microsoft Office Specialist) : Outlook 2013.
Langue: Français",,Fundamental Skills,Score < threshold
,Excel 2013 Level 3,"This session shows the experienced Excel 2013 how to create macros to expedite features used frequently. In addition, users will learn advanced formulas.

After completing this course, students will be able to:

* Create and edit macros
* Work with advanced formulas

",microsoft office,Information Technology and Solutions,0.9993129
,Trabajar con contactos en Outlook 2013,"
Tomarse el tiempo para crear contactos en Outlook 2013 ayuda a evitar tener que escribir las direcciones de correo electrónico completas cada vez que se desee enviar un mensaje, asignar una tarea o enviar convocatorias de reuniones. Se pueden organizar aún más los contactos creando grupos de contactos que permiten enviar un mensaje de correo electrónico a varios contactos de una sola vez escribiendo únicamente el nombre del grupo. Este curso abarca las múltiples maneras de crear contactos y grupos de contactos y explica, también, cómo administrar la información de contacto dentro del Panel de personas en Outlook 2013. También abarca cómo integrar información de contacto de una red social con Outlook 2013. Este curso ayudará a los estudiantes a prepararse para el examen de Microsoft Certification 77-423: Outlook 2013, que certifica a los estudiantes como Microsoft Office Specialist (MOS): Outlook 2013.
Idioma: Español",microsoft outlook,Fundamental Skills,0.84294343
,Gestion des contacts dans Outlook 2013,"
En prenant le temps de créer des contacts dans Outlook 2013, vous pouvez vous éviter d'avoir à saisir des adresses de messagerie complètes à chaque fois que vous envoyez un message, affectez une tâche ou émettez des demandes de réunion. Vous pouvez ensuite organiser les contacts en créant des groupes de contacts qui vous permettent d'envoyer un message électronique à plusieurs contacts simultanément en tapant uniquement le nom du groupe. Ce cours présente les nombreuses façons de créer des contacts et des groupes de contacts, comment gérer les informations de contact dans le dossier Personnes d'Outlook 2013. Il explique également comment intégrer des informations de contact à partir d'un réseau social avec Outlook 2013. Ce cours aide à préparer l'examen de certification Microsoft 77-423 : Outlook 2013, qui délivre une certification MOS (Microsoft Office Specialist) : Outlook 2013.
Langue: Français",microsoft outlook,Fundamental Skills,0.9473025
,"Programar citas, eventos y tareas en Outlook 2013","
El Calendario de Outlook 2013 permite crear citas y eventos y programar reuniones. El Calendario está totalmente integrado con los otros componentes de Microsoft Outlook 2013, lo que permite incorporar fácilmente los contactos y la funcionalidad del correo electrónico. En esta curso, se presentan los componentes principales del Calendario y se muestra cómo programar citas y eventos. En Microsoft Outlook 2013, se encuentra disponible la característica Tareas, que le permite mantenerse organizado y le brinda asistencia con las distintas tareas que debe procesar diariamente. En esta curso, se muestra cómo crear tareas en Outlook 2013 con el fin de que pueda administrar su tiempo y organizarse. Esta curso ayudará a los estudiantes a prepararse para el examen de Microsoft Certification 77-423: Outlook 2013, que certifica a los estudiantes como Microsoft Office Specialist (MOS): Outlook 2013.
Idioma: Español",microsoft outlook,Fundamental Skills,0.83936954
