,Title,Description,Topic,Subject Area,Score,type
15313,The Pharma Industry Tried To Justify Drug Prices. We Fact Checked Them.,Drug companies are in the midst of a glossy publicity campaign to stop attempts to control rising pharma costs. But the devil is in the details.,healthy living,news,0.03555521419085572,2 - Topic unable to be determined – subject area used instead
51215,Gays Against Guns Stages Spooky Protest To 'Haunt' NRA At NJ State Fair,"""NRA get ready to GAG""",queer voices,news,0.020190479155638208,3 - Topic calculated with low confidence score and no subject area available
163394,"Food Allergy Advice for Kids: Don't Delay Peanuts, Eggs",Parents trying to navigate the confusing world of children's food allergies now have more specific advice to consider. Highly,parenting,news,0.9732672977586896,
158278,Diagnosing The Wrong Deficit,Many theories are thrown around to explain the rise in the diagnosis and treatment of A.D.H.D. in children and adults. According,wellness,news,0.20450008722086954,1 - Topic determined by algorithm
151020,To My Unborn Sons: 'A Bounty Has Been Placed On Your Head. Your Price: Worthless',"I love you already more than you'll ever know, and you're not even here yet. At the same time, I'm terrified to bring you into this world. Today, as generations before me have done, I will continue to hold on to hope. I will continue to believe that we can and will survive this blatant assault to our identity.",black voices,news,0.8547952153189501,2 - Topic unable to be determined – subject area used instead
174333,Can Pesticides Make Your Kids Fat?,"This month, a new study identified a common pesticide sprayed on produce as an obesogen.",parenting,news,0.40082019955425774,3 - Topic calculated with low confidence score and no subject area available
197404,"Christine Cameron, Blogger Behind 'My Style Pill,' Shows Off Her 19 Best Looks (PHOTOS)","What does your beauty routine consist of? It's simple -- I use face cream, tinted moisturizer, concealer, light blush, mascara",style & beauty,news,0.9560591562796832,3 - Topic calculated with low confidence score and no subject area available
72174,Eva Longoria Engaged To Boyfriend Jose Antonio Baston,Congrats to the happy couple!,entertainment,news,0.10249368955872984,
12950,Breast Cancer Awareness: What It Means For African-American Women,October is Breast Cancer Awareness Month and the overarching mission is powerful ― help increase awareness about the importance,healthy living,news,0.22508422889105195,2 - Topic unable to be determined – subject area used instead
45740,Poll: GOP Voters Not Following Trump-Abandoning Elites,Beltway Republicans continue to influence nobody.,politics,news,0.3613319022796101,
32764,Syria Rebels Want Trump To Know They're The Ones Fighting ISIS,The Free Syrian Army is hopeful for more support despite the president's praise of Bashar Assad.,politics,news,0.5823350939178354,
21461,Jimmy Carter Recovers From Dehydration Scare In Canada,The former president collapsed while working at the Winnipeg construction site for Habitat for Humanity,politics,news,0.5490774603791304,2 - Topic unable to be determined – subject area used instead
174155,'Sleep Song' At Harlem Stage Gatehouse Tells The Unbelievable Stories Of Civilians And Soldiers In Iraq And Afghanistan,"Poet-musician Mike Ladd's new piece is called “Sleep Song,"" and it joins together an ensemble of Iraqi, French and American",culture & arts,news,0.17968562885207073,2 - Topic unable to be determined – subject area used instead
189199,5 Reasons To Go Traveling Now,"Perhaps now is the time to start listening to those well-meaning folks who say such frivolous things like, ""There's no time like the present.""",travel,news,0.990983186712,1 - Topic determined by algorithm
166620,Nicole Kidman: Botox Was An Unfortunate Move But Now I Can Move My Face Again,"Want more? Be sure to check out HuffPost Style on Twitter, Facebook, Tumblr, Pinterest and Instagram at @HuffPostStyle. -- Do",style & beauty,news,0.713183645443432,3 - Topic calculated with low confidence score and no subject area available
154963,The $2.7 Trillion Medical Bill,Deirdre Yapalater's recent colonoscopy at a surgical center near her home here on Long Island went smoothly: she was whisked,wellness,news,0.2782048407141027,2 - Topic unable to be determined – subject area used instead
95966,Jerked Around After All These Years,Netanyahu's position directly opposes the American policy in favor of a two-state solution that has been in place since the Six-Day War of 1967.,worldpost,news,0.7697042199035402,3 - Topic calculated with low confidence score and no subject area available
142522,"Prince Serves Up 'Breakfast,' Kanye Dominates And More Pop Culture Buzz This Week (VIDEOS)","With the weekend officially upon us, it’s time to unwind, reflect and check out all the dope stuff that caught our attention",black voices,news,0.3429741967272252,2 - Topic unable to be determined – subject area used instead
145503,The Lessons I Learned From a Health Nut Father,Having a mom who never said no to treats and a dad to run with allowed me to find a harmonious balance of remaining healthy while never depriving myself.,wellness,news,0.476436045972178,2 - Topic unable to be determined – subject area used instead
14534,Republicans Reeling After Tim Murphy Announces His Resignation Amidst Scandal,Leading up to the announcement were revelations that Murphy was having an extramarital affair with a young woman named Shannon Edwards.,politics,news,0.4164131497760385,1 - Topic determined by algorithm
98842,This Is How You Transform Stress Into A Beautiful Moment,,healthy living,news,0.14439555517529212,3 - Topic calculated with low confidence score and no subject area available
107041,Former Soldier Turned Zen Monk Teaches Vets to Use Mindfulness as Body Armor,"You have to change.  If you don't change, you're going to die. That is the chilling realization that prompted Gulf War Veteran Michael Nguyen to turn to mindfulness practice to save his life when PTSD was running it into the ground.",healthy living,news,0.2914332515785556,2 - Topic unable to be determined – subject area used instead
182855,Overbearing Mother: 3 Ways To Tame A 'Momzilla',"10 Super-Cute Nerdy Marriage Proposals 1. Demonstrate that you are an adult. If you have yet to become somewhat of an ""equal",weddings,news,0.3004314931240373,2 - Topic unable to be determined – subject area used instead
194658,"How the World Has Changed: It Is Now One. How the Fashion World Has Changed: It, Too, Is Now One.",World Wide Fashion is the new real democracy. I decided to join the world: I will be the first French couturier to sell dresses on HSN.,style & beauty,news,0.8843479132318097,2 - Topic unable to be determined – subject area used instead
104608,LOOK: The Stars Were Out For The 16th Annual TrevorLIVE LA Event,,queer voices,news,0.3861550930042388,2 - Topic unable to be determined – subject area used instead
184030,"Nolan Gould, 'Modern Family' Actor, Heads To The Grand Canyon With Sierra Club (PHOTOS)","Gould, who is a Sierra Club Youth Ambassador, also went mountain biking in the protected area straddling the border of Utah",travel,news,0.5567521959856456,2 - Topic unable to be determined – subject area used instead
165159,Do Chefs Need Litmus Test To Claim Food Authenticity?,"The idea that the ""authentic"" in food is sort of a false one, full of imagined nostalgia.",food & drink,news,0.4513007392585575,
43309,Barack Obama Warns That A Donald Trump Presidency Would Be 'Damaging For The World',The president told Bill Maher the choice this election should be clear: Hillary Clinton for president.,politics,news,0.20733448453218184,3 - Topic calculated with low confidence score and no subject area available
37578,This Sweater Is Perfect For Anyone Who Is Done Talking About Politics,"Or anything, for that matter.",style,news,0.8760626817730676,2 - Topic unable to be determined – subject area used instead
8347,Oil Industry Seals Two Arctic Drilling Wins As Fierce East Coast Storm Fuels Climate Fears,"Scientists say a warming Arctic increases storms like the ""bomb cyclone"" battering the East Coast.",politics,news,0.8345175877024199,
182379,Surprise Proposal: Strangers With Flowers Help Man Propose (VIDEO),"Teresa and I both knew we were going to get married eventually, although we'd never really said it out loud. (I found out",weddings,news,0.09175792341914346,1 - Topic determined by algorithm
68990,The Struggle Of Having To Poop At Bae's Place Is Too Real,"""There was a blitzkrieg in your bathroom."" 😂💩",comedy,news,0.1871745806841245,3 - Topic calculated with low confidence score and no subject area available
33974,"We're A Nation At War, But Will It Ever End?","It doesn’t feel like a war ― not in the U.S.A., at least.",politics,news,0.8984496403633094,2 - Topic unable to be determined – subject area used instead
175911,Where To Teach English For Non-English Teachers,"While traveling through Spain I had the good fortune to be able to participate in two English immersion programs, Vaughan Town and Pueblo Ingles, respectively. Each week was magical, and nothing could have prepared me for the emotions I would feel after working so closely with these inspiring Spaniards.",travel,news,0.3596850980040505,
173694,"Kate Middleton & Prince William's Engagement Was 2 Years Ago! (PHOTOS, VIDEO)",It's been two years already??,style & beauty,news,0.6498518618367751,1 - Topic determined by algorithm
101298,4 Marketing Strategies for the Home Maintenance Industry,"Developing a marketing strategy for any small business is a difficult task. Each industry has its own requirements when it comes to reaching out to customers, and that is no different for home maintenance companies.",business,news,0.5649733677680397,1 - Topic determined by algorithm
92848,Cure Cancer. Cure Education.,"Danny Colllins blended three core aspects of my life -- cancer, education and music -- to the point that one simple word kept repeating in my mind as I left the theater: cure.",impact,news,0.31823673923701945,3 - Topic calculated with low confidence score and no subject area available
58998,Easy Italian Recipes To Make As A Family,Children who are good eaters have been trained to taste things from a very early age. This is what experience has taught,travel,news,0.3075489024209961,1 - Topic determined by algorithm
145800,"43 Best Vines Of The Week, In One Video: Sep. 1st - Sep. 7th, 2013","Vine, Twitter’s micro-video social network, is perhaps the best form of entertainment for Generation Distraction. With a",tech,news,0.8309220100977405,3 - Topic calculated with low confidence score and no subject area available
144549,"Hundreds of Events ""Draw the Line"" Against Keystone XL & Tar Sands","At over 200 events today -- from Alaska to Nebraska -- people are ""Drawing the Line"" against the Keystone XL pipeline, tar sands and other dirty energy projects. The day's events are being coordinated by the climate campaign 350.org with help from scores of partners.",environment,news,0.4767450427140404,1 - Topic determined by algorithm
95362,The Meaning of Goodness,"For those who know C.S. Lewis as the author of the Chronicles of Narnia books, it may be a surprise that the he became famous for his wartime radio addresses to the British people during WWII.",religion,news,0.494427291785056,2 - Topic unable to be determined – subject area used instead
66819,Eva Longoria Pays Homage To Nicki Minaj With 'Anaconda' Performance On 'Lip Sync Battle',She came dressed to kill.,entertainment,news,0.4879144978681086,2 - Topic unable to be determined – subject area used instead
33670,This Awesome 11-Year-Old Girl Designed A Prosthetic Arm That Shoots Glitter,Go Jordan!,parents,news,0.03671223323819728,1 - Topic determined by algorithm
12846,"'Getting Away With Murder' In Somalia, Where Journalists Are Killed With Impunity","Dozens of journalists have been slain in Somalia over the past decade, but none of their killers have been brought to justice.",world news,news,0.017599461336806566,
80726,Tyler Perry Meets With Tanzanian Children With Albinism,"Perry donated $200,000 three years ago to help build a four-bedroom house for a group of children who had been mutilated for their body parts.",black voices,news,0.02402858688912413,
65111,Hillary Clinton Wins Massachusetts' Democratic Primary,Clinton was endorsed by most of the state's political establishment.,politics,news,0.8787453369080861,2 - Topic unable to be determined – subject area used instead
126243,Re-Awaken Love in Your Life,"The theme of letting love into your heart seems to have hit a powerful chord with so many people I encounter. Opening our heart is never easy, especially when there's been a heartbreak that has shut us down and allowed us to build walls to protect the tenderness of our heart.",wellness,news,0.11637107157683113,1 - Topic determined by algorithm
87883,HUFFPOST HILL - GOP Defending Symbol Of People Who Hated Republicans,,politics,news,0.815275120776527,2 - Topic unable to be determined – subject area used instead
119193,"Iraq Militants Strike Air Base, Seize Oilfields",,worldpost,news,0.7334691316690038,3 - Topic calculated with low confidence score and no subject area available
51831,"Donald Trump Has A Problem With Fire Safety Rules, Apparently",Does Trump want his supporters to die in a fire?,politics,news,0.9938389856783306,1 - Topic determined by algorithm
3505,Maryland Governor Candidate Breastfeeds In New Campaign Ad,“I’m a mom. I’m a woman. And I want to be your next governor.”,women,news,0.4112414236542236,
90515,3 Reasons Your Phone Is Killing Your Social Life,"On Robertson Boulevard in Los Angeles, I experienced another example of phones turning people into mindless robots. Here's why you need to put your phone down before you're transformed into Mr or Mrs. Oblivious... (or worse).",healthy living,news,0.09988655583849748,
79780,Sarah Palin: Ahmed Was Asking For It When He Brought His Clock To School,"""Right. That's a clock, and I'm the Queen of England.""",politics,news,0.7356150400818419,
175878,U.K. Sees Sports Tourism Bump,Don't thank the Olympics -- at least not yet. The U.K. has seen a huge surge in the number of people visiting the country,travel,news,0.6259650520744582,1 - Topic determined by algorithm
14618,Women Scientists Report Sexual Harassment On Boston University Expeditions,The harassment reportedly occurred on BU research trips to Antarctica.,women,news,0.9105403339749712,2 - Topic unable to be determined – subject area used instead
8914,California Authorities Launch Manhunt After Series Of Random Shootings Targeting Drivers,Witnesses described the suspect’s vehicle as a dark-colored pick-up truck with oversized tires.,crime,news,0.8768392239189283,2 - Topic unable to be determined – subject area used instead
17124,Donald Trump Falsely Claims U.S. Is The Highest-Taxed Nation,Businesses and individuals in the U.S. have a lower tax burden than they would in other countries.,politics,news,0.11069229455569683,1 - Topic determined by algorithm
57644,Trump Vows To Undo Obama's Climate Agenda In Appeal To Oil Sector,"Donald Trump, the presumptive Republican presidential nominee, promised on Thursday to roll back some of America's most ambitious",politics,news,0.8435663912671738,
57857,How To Bike Your Way Through Two Italian Cities,The balance between cost and effectiveness is excellent. The Po Valley—stretching along the course of the Po River in northern,travel,news,0.4081912290038495,2 - Topic unable to be determined – subject area used instead
77728,Who Else Besides Joe Biden Might Crash The Debate?,CNN needs more buzz than Hillary vs. Bernie. Vegas needs more than Ocean's 6.,politics,news,0.610501005108521,
74301,Condé Nast To Shutter Details Magazine,"The December issue of Details magazine will be its last, making the men’s fashion title the latest casualty of the declining",media,news,0.3963717972364491,2 - Topic unable to be determined – subject area used instead
83116,Golden Retriever Puppy Gets A Lesson On How To Use A Slide,Sit. Stay. Slide!,good news,news,0.6693023214784343,3 - Topic calculated with low confidence score and no subject area available
46409,Trump's 1995 Tax Records Suggest No Federal Taxes For 18 Years: New York Times,The Trump camp is not denying it.,politics,news,0.1794119962187649,3 - Topic calculated with low confidence score and no subject area available
81428,White House Welcomes Kanye West's Political Bid,#Kanye2020,politics,news,0.7279624723852417,
89871,All Your Existential Worries Are Catalogued In One Hilarious Instagram Account,,arts,news,0.35730004534198645,2 - Topic unable to be determined – subject area used instead
6319,Husband Of Former Trump Household Staffer Now An EPA Official,"Steve Kopec knows ""customer service"" and ""team building,"" says his boss.",politics,news,0.5110825237874134,
143846,Straight Man Gets Emotional Over Gay Brother's Struggles After Wedding,"In this emotional video, David Stevens, a straight man, discusses what happened after he posted pictures of his gay brother's",queer voices,news,0.12907042977641958,3 - Topic calculated with low confidence score and no subject area available
163568,"Pregnant Kate Middleton Enjoys Swiss Alps With Prince William, Prince Harry (PHOTOS)","And glam at the wedding... Kate Middleton's had quite a nice little weekend in the Swiss Alps. First, she throws on her finest",style & beauty,news,0.15292917832751107,
75908,Photos Capture Turkey's Crucial Election And Its Fallout,"A day of voting, protests and celebrations.",the worldpost,news,0.5112787166415511,3 - Topic calculated with low confidence score and no subject area available
134252,Copying Other Cultures: A Questionable Parenting Strategy,"Back when our children were infants, a local mom in my Brooklyn baby group was raving about her visit with a lactation consultant",parenting,news,0.1815276175298025,3 - Topic calculated with low confidence score and no subject area available
40840,Oakland Warehouse Fire Death Toll Continues To Soar,"At least 36 people have been confirmed dead in the fire, which started Friday night.",crime,news,0.6023139154052065,2 - Topic unable to be determined – subject area used instead
143201,Paul McCartney Wants To Collaborate With Thom Yorke But Thinks The Radiohead Frontman Is Too Busy,"No logical person is too busy for Paul McCartney -- but that's not what the former Beatle himself thinks. ""There were big",entertainment,news,0.9279879163176008,3 - Topic calculated with low confidence score and no subject area available
170669,Does Size Really Matter...in Weddings?,"We have started to see this trend play out in the wedding industry as well, as brides are beginning to choose smaller, more intimate affairs regardless of their ability to afford the supersized version.",weddings,news,0.9239538169343678,1 - Topic determined by algorithm
59335,Kim Jong-un Announces A Five-Year Plan For North Korea,North Korea is having its first party congress in 36 years.,the worldpost,news,0.4981420402818996,3 - Topic calculated with low confidence score and no subject area available
148648,Thrillist Opened 350 Fortune Cookies... in Bed!,As an ode to the wisest of all cookies -- aside from the Fig Newton -- we cracked open a lifetime's worth* of fortune cookies to investigate which sound the funniest... in bed!! Because that's what people say to be hilarious.,food & drink,news,0.8981050002088626,3 - Topic calculated with low confidence score and no subject area available
200635,We Met On A Plane: New Website Reconnects Flyers Who Forget To Exchange Numbers,"If no relevant results pop up, you can also click ""Share Your Story"" and explain how you met. There's also the option to",travel,news,0.6097688867559459,2 - Topic unable to be determined – subject area used instead
