Entity Type,Title,Description,Topic,Subject Area,Score,Manual,Correct
Item,Defining Project Problems or Opportunities,"Have you ever been presented with a problem or opportunity surrounding a project and been stumped as to how you should proceed? In this course, Jeff Crow reviews some key points and questions to ask yourself when defining these problems or opportunities.",[],,[],project management,0
Item,Alternative Routes to Accomplishing the Project Goal,"Jeff Crow will show you a model used to decide between several alternate paths that will lead you to your project goal. In the course, you will learn how to effectively score and weigh each decision so you may decide which option best suits your needs.",[],,[],project management,0
Item,Shortening the Critical Path,"What happens when your estimated completion time doesn't line up with your project deadline? Jeff Crow details some of the most effective means of shortening the Critical Path, including priority manipulation, duration/task time ratio improvement and thoughtful resource management.",[],,[],project management,0
Item,Contingency Planning,How do we identify potential weak areas in our project? How do we minimize the likelihood of problems arising? What do we do when issues inevitably surface? Jeff Crow teaches us the basics of contingency planning for projects in the workplace.,[],,[],project management,0
Item,Understanding Your Learning Style,Are you an auditory learner or a visual learner? This course starts out with a discussion about the different ways people learn and includes a quiz to discover your own learning style. We'll explore strategies for working with your preferred learning style. Also covered are several different kinds of research and study methods used in the study of organizational behavior (OB).,[],,[],learning management,0
Item,How Perceptual Style affects Behavior,"Perception is how we make sense of our environment in response to stimuli. Therefore, when perceiving others, the attributions we make will determine how we respond to the situation. Since our perception is affected by our values, needs, and emotions, understanding the perception process gives us clues for understanding human behavior. This course covers some of the biases that affect human perception of objects, self, and others.",[],,[],soft skills,0
Item,Planning Process Summary,Jeff Crow summarizes the collection of courses on project planning by emphasizing the order of steps detailed in previous lessons and giving reasons why planning is absolutely essential.,[],,[],production planning,0
Item,Stakeholder Analysis Matrix,"Identifying the stakeholders in your project is a critical, but often overlooked, aspect of project management. Jeff Crow discusses the role of stakeholders in your project and goes through the steps of creating a detailed stakeholder analysis matrix.",[],,[],project management,0
Item,Turning a Project into a Process,What is the difference between project and process and when should a project become a process? Jeff Crow explains the steps involved in turning a project into a process and gives some tips for each of them.,[],,[],project management,0
Item,Understanding Motivation: Processes that Inspire,"Process-based theories use the mental processes of employees as the key to understanding employee motivation. According to equity theory, employees are demotivated when they view reward distribution as unfair. Perceptions of fairness are shaped by the comparisons they make between their inputs and outcomes with respect to a referent's inputs and outcomes. Following equity theory, research identified two other types of fairness (procedural and interactional) that also affect worker reactions and motivation.",[],,[],soft skills,0
Item,Understanding Motivation: Managing Expectations,"According to expectancy theory, employees are motivated when they believe that their effort will lead to high performance, when they believe that their performance will lead to outcomes, and when they find the outcomes following performance to be desirable. Reinforcement theory argues that behavior is a function of its consequences. By properly tying rewards to positive behaviors, eliminating rewards following negative behaviors, and punishing negative behaviors, leaders can increase the frequency of desired behaviors. These two theories, along with equity theory, are particularly useful in designing reward systems within a company.",[],,[],soft skills,0
Item,Managing the Stages of Groups,"Groups may be either formal or informal and they go through developmental stages much like individuals do. The forming-storming-norming-performing-adjourning model is useful in prescribing stages that groups should pay attention to as they develop. This course also introduces topics such as group cohesion, social loafing and collective efficacy.",[],,[],soft skills,0
Item,Understanding Power and Dependency,"Power is the ability to influence the behavior of others to get what you want. It is often visible to others within organizations. Conformity manifests itself in several ways, and research shows that individuals will defer to a group even when they may know that what they are doing is inaccurate or unethical. Dependency is increased when you possess something that is considered scarce, important, and non-substitutable by others.",[],,[],leadership,0
Item,Utilizing Power and Influence Effectively,"Individuals have six potential sources of power: legitimate, reward, coercive, expert, information, and referent power. In this course, we discuss each of these types of power and touch on several influence tactics as a way individuals attempt to influence one another in organizations.",[],,[],soft skills,0
Item,Maximizing the Benefits of Your Organization's Structure,"The key elements of a company's structure are: the degree to which a company is centralized and formalized, the number of levels in the company hierarchy, and the type of departmentalization the company uses. These elements of structure affect the degree to which the company is effective and innovative as well as employee attitudes and behaviors at work.",[],,[],leadership,0
Item,Linking Ethical Behavior to Your Organization's Structure,"Structure has implications for the degree of ethical behaviors that may be found in an organization. Moreover, organizational change involves events during which a company's ethics may be put to the test. This course discusses how culture affects the extent to which organizations are open to change and how change is executed within an organization.",[],,[],leadership,0
Item,Marketing the Culture of Your Organization,"One way of learning about a company's culture is through certain visual cues observable in its environment. Signs of a company's culture can include the organization's mission statement, stories, physical layout, rules and policies, and rituals.",[],,[],management,0
Item,Ultimate Resume Building,"This course is designed to help students prepare a professional resume. The course outlines information regarding the importance of resumes, structure, and tips and tricks to use when developing resumes. This course will teach students how to build a strong resume, which is imperative in today's competitive job market.",[],,[],writing,0
Item,ServiceSims: Raging Bull,"Rude, angry, abusive customers are a challenge to handle. What's the best method to defuse the situation so you're able to steer it towards a positive outcome?",[],,[],soft skills,0
Item,ServiceSims: The Hangover,Some late night and weekend callers can be in a 'unique' frame of mind. How do you walk the tight rope of staying polite while also valuing your time so you're able to assist other customers?,[],,[],communication,0
Item,ServiceSims: Look Who's Talking,Sometimes customers love to tell you their life story. What's the best strategy for resolving situations like this without upsetting talkative customers?,[],,[],communication,0
Item,ServiceSims: Back to the Future,Calls from 'Seasoned' citizens deserve extra care. How can you demonstrate great service when you don't have what they're calling about?,[],,[],communication,0
Item,ServiceSims: The Terminator,"Thankfully, threatening callers are rare. If you do encounter a customer making threats, what course of action should you take?",[],,[],communication,0
Item,What to Say When: Haunted by the Ghost of Your Predecessor,This course is part of our 'What to Say When' Mentoring series. It can be frustrating when the legacy and decisions of the person who previously held your position continues to crop up. Having a strategy in place to handle such situations is the key to a smooth transition.,[],,[],soft skills,0
Item,What to Say When: Setting Objectives,"This course is part of our 'What to Say When' Mentoring series. Setting and gaining commitments for work objectives is fundamental to attaining your organizational goals. Employing the S.M.A.R.T. model will ensure your objectives are Specific, Measurable, Achievable, Realistic and Time-bounded.",[],,[],soft skills,0
Item,What to Say When: You Want to Offer Praise,"This course is part of our 'What to Say When' Mentoring series. Offering praise can be a powerful motivator which rewards, reinforces and encourages the behavior we want to see more of. Knowing the rules for delivering praise will help to improve performance throughout the workplace.",[],,[],soft skills,0
Item,Hours of Service Overview,Course Description.,[],,[],,
Item,SPI660AD08C Glaze prep. Control Plan,SPI660AD08c_Glaze Prep.xlsx,[],,[],,
Item,SPI660AD08D Press SVL1 Control Plan,SPI660AD08d_Press Control Plan_SVL1.xlsx,[],,[],,
Item,SPI660AD08E Press  SVL2  control plan,SPI660AD08e_Press Control Plan_SVL2.xlsx,[],,[],,
Item,SPI660AD08 Glaze line SVL1 control plan,SPI660AD08e_Press Control Plan_SVL2.xlsx,[],,[],,
Item,SPI660AD08G Glaze line  SVL2 control Plan,SPI660AD08g_Glaze Line Control Plan_SVL2_rev 4.xlsx,[],,[],,
Item,SPI660AD08H Inkjet SVL1 control Plan,SPI660AD08h_Inkjet Control Plan_SVL1_rev 3.xlsx,[],,[],,
Item,SPI660AD08I Inkjet SVL2 Control Plan,SPI660AD08i_Inkjet Control Plan_SVL2_Rev1.xlsx,[],,[],,
Item,SPI660AD08J Kiln SVL1 Control Plan,SPI660AD08j_Kiln Control Plan_SVL1_rev 2.xlsx,[],,[],,
Item,SPI660AD08K Kiln SVL2 Control Plan,SPI660AD08k_Kiln Control Plan_SVL2.xlsx,[],,[],,
Item,SPI660AD08L Selection SVL1,SPI660AD08L_Selection_SVL1_rev 4.xlsx,[],,[],,
Item,SPI660AD08M Selection SVL2 Control Plan,SPI660AD08M_Selection_SVL2_rev3.xlsx,[],,[],,
Item,SPI660AD11 Numbering Procedures,SPI660AD11_Numbering Procedures_rev 2.doc,[],,[],,
Item,SPI660AD12 Control of non Conforming Products,SPI660AD12_Control of Nonconforming Product.docx,[],,[],,
Item,SPI660AD13 Master Document List,SPI660AD13_Master Document List.doc,[],,[],,
Item,SPI660AD14 Products Claims,SPI660AD14_Product Claims_rev 2.doc,[],,[],,
Item,DT_SV_ISO_SPI660AD17,SPI660AD17_Notice_of_Change.docx,[],,[],,
Item,Hours of Service Overview,Course Description.,[],,[],,
Item,Who Wants to be a Millionaire for Warehouse? Week 1,Course Description.,[],,[],soft skills,0
Item,Who Wants to be a Millionaire for Warehouse? Week 2,Course Description.,[],,[],soft skills,0
Item,Who Wants to be a Millionaire for Warehouse? Week 3,Course Description.,[],,[],soft skills,0
Item,Who Wants to be a Millionaire for Warehouse? Week 4,Course Description.,[],,[],soft skills,0
Item,Who Wants to be a Millionaire for Drivers? Week 1,Course Description.,[],,[],soft skills,0
Item,Who Wants to be a Millionaire for Drivers? Week 2,Course Description.,[],,[],soft skills,0
Item,Who Wants to be a Millionaire for Drivers? Week 3,Course Description.,[],,[],soft skills,0
Item,Who Wants to be a Millionaire for Drivers? Week 4,Course Description.,[],,[],soft skills,0
Item,Storm Water and Oil Spill Training,Spill_Reporting_and_Response_Training_waste_management.pdf,[],,[],waste management,0
Item,Diabetes Module 4 Preview 2,Course Description.,[],,[],healthcare,0
Item,Diabetes Module 4 Preview V3,Course Description.,[],,[],healthcare,0
Item,Onboarding New Employees: Learning From Co-Workers (Part 7 of 18),"Reinforcing the great things about the team and company provides a new employee the chance to learn some things he or she may not know. This can create new levels of energy and excitement. In particular, when new employees hear from peers, there is an added level of credibility that strengthens the message regarding what’s great about their new job. Take advantage of this opportunity and strengthen the new hire’s commitment to the role, team, and company, while also providing the chance for all team members to become reenergized about the great things happening at work. By completing this course, you will know how to help new hires learn from co-workers why it’s great to work for the team and the company. This course has been approved for one hour of PDU credit from PMI (Project Management Institute). This course is part of Vado's Onboarding learning track which has been approved for 6.25 hours of SHRM (Society for Human Resource Management) Professional Development Credits (PDCs), as well as 6.25 hours of HRCI (HR Certification Institute) recertification credits.",[],,[],employee onboarding,0
Item,Onboarding New Employees: New Hires Build New Skills (Part 9 of 18),"Managers are essential to helping new hires identify the information and skills required to meet commitments and goals. As a manager, you will know best what is required to perform well in the job, and can help the employee prioritize what should be learned and developed first. Remember, new employees want to be successful. They will be looking to you for guidance as to what they must know and develop. Taking the time to help your new employee develop into a strong, contributing employee will be beneficial for you, the team, as well as the new employee. By completing this course, you will know what skills and knowledge the new hire must build to be successful in the new role. This course has been approved for one hour of PDU credit from PMI (Project Management Institute). This course is part of Vado's Onboarding learning track which has been approved for 6.25 hours of SHRM (Society for Human Resource Management) Professional Development Credits (PDCs), as well as 6.25 hours of HRCI (HR Certification Institute) recertification credits.",[],,[],,
Item,Onboarding New Employees: Reconnect Employees to Individual Work (Part 12 of 18),"In the beginning of any job, expectations are set, and new employees work to meet those expectations. This is good. But after a few months, new hires tend to be more comfortable in their role and have a better idea of what to do. They are now ready for a bit more. As a result, work expectations should change to meet the new hire’s emerging knowledge and capabilities. This course provides a process you can use to outline the work expectations you have for the new hire. During this time, be sure to talk about the employee’s most important tasks and responsibilities, the work that must get done, and why. By completing this course, you will be able to reconnect new hires to the work they must do and achieve. This course has been approved for one hour of PDU credit from PMI (Project Management Institute). This course is part of Vado's Onboarding learning track which has been approved for 6.25 hours of SHRM (Society for Human Resource Management) Professional Development Credits (PDCs), as well as 6.25 hours of HRCI (HR Certification Institute) recertification credits.",[],,[],,
Item,Onboarding New Employees: New Hires Build a Professional Network (Part 15 of 18),"As a new hire, creating a network is a great thing to do. A strong network of people can set the stage for a great career. The only challenge is, new hires tend not to know who they can include in their network. However, as experienced team members, you do. Using your knowledge and experience of the company, you can identify a few people who would be great to include in the new employee’s network. This course will help you support your new co-worker’s success by providing him or her a head start in building a professional network. Not only will the new employee benefit from your assistance, but the team will benefit from a co-worker who is better equipped to perform and help deliver the team’s goals. By completing this course, you will know how to help new hires build a network of people within the company. This course has been approved for one hour of PDU credit from PMI (Project Management Institute). This course is part of Vado's Onboarding learning track which has been approved for 6.25 hours of SHRM (Society for Human Resource Management) Professional Development Credits (PDCs), as well as 6.25 hours of HRCI (HR Certification Institute) recertification credits.",[],,[],employee onboarding,0
Item,Predictable Revenue Toolkit: Common Marketing Failures (Part 2 of 12),"While there are a number of best practices all leaders must consider when building a strong Inbound Marketing program, it’s essential to also know about the things that decrease success and could lead to failure. For this course you will learn about what can cause Inbound Marketing to fail, and what you can do to avoid or limit the impact. By completing this course, you will learn what you should not do when conducting inbound marketing.",[],,[],,
Item,Predictable Revenue Toolkit: Seeds and Word of Mouth (Part 4 of 12),"Seeds is word-of-mouth lead generation. Seeds” are highly profitable. Word-of-mouth leads are the fastest to close and have the highest win rates. There’s nothing better than that! Unfortunately, it’s almost impossible to proactivity grow these types of leads -- so what’s a leader to do? The best way to methodically grow your “seeds” is with a dedication to customer success, which reduces customer churn, increases upsells, increases referrals, and improves marketing content. By completing this course, you will understand the value of word-of-mouth lead generation.",[],,[],,
Item,Starting a New Job: Learn About the Company and Customers (Part 2 of 7),"When you start a new job, there is a lot to learn. You need to learn what you must do and achieve, you need to get to know your co-workers, you need to figure out how to get work done, and you need to understand how you’ll contribute to the team. Now all of these things are important. They are essential to your overall success at work. But there is something else that will make a difference. As a new employee, you should make the time to get to know your new company and its customers. If you want to become connected and excited about the organization, if you want to perform well and contribute, then get to know the company and its customers. You’ll be glad you did. By completing this course, you will know how to learn more about the company and its customers. This course has been approved for one hour of PDU credit from PMI (Project Management Institute). This course is part of Vado's Onboarding learning track which has been approved for 6.25 hours of SHRM (Society for Human Resource Management) Professional Development Credits (PDCs), as well as 6.25 hours of HRCI (HR Certification Institute) recertification credits.",[],,[],employee onboarding,0
Item,Starting a New Job: Information for Success (Part 3 of 7),"When anyone starts a new job, there is always a lot to learn. From simple things such as where things are, to the more complex such as what work you need do and how you need to do it. In addition, it’s important to find out who on the team and in the company can help you. The more people you know, the better off you’ll be. When you know various people within the company, you’ll have a network of people to turn to. This will be beneficial when you have questions, need help, or just want to understand something better. As a result, these relationships will help you perform faster, be successful sooner, and help you really feel like part of the team. By completing this course, you will know who can provide the information you need to be successful in your job. This course has been approved for 1 hour of PDU credit from PMI (Project Management Institute). This course is part of Vado's Onboarding learning track which has been approved for 6.25 hours of SHRM (Society for Human Resource Management) Professional Development Credits (PDCs), as well as 6.25 hours of HRCI (HR Certification Institute) recertification credits.",[],,[],,
Item,Starting a New Job: Making an Impact (Part 4 of 7),"When you know how you contribute to the team and to the company, you will find yourself more engaged in what you do. It’s much more exciting to do work that has meaning, versus work you don’t think will matter. You’ll also find yourself putting in the extra effort required to ensure your work is done well. For even though the work you do matters, it’s not going to mean much if the work you actually do is not done well. Knowing your contribution to the team and to the company is a great thing to do. It will help you become a stronger and more productive employee, and that is great for everyone. By completing this course, you will know how you make a positive impact on the team and within the company. This course has been approved for 1 hour of PDU credit from PMI (Project Management Institute). This course is part of Vado's Onboarding learning track which has been approved for 6.25 hours of SHRM (Society for Human Resource Management) Professional Development Credits (PDCs), as well as 6.25 hours of HRCI (HR Certification Institute) recertification credits.",[],,[],,
Item,Starting a New Job: Getting to Know Your Peers (Part 5 of 7),"At this point in your new job, you most likely know the names of your immediate co-workers. You may know what some of their roles and responsibilities are, but do you know their strengths and capabilities? Do you know how they can help you? Do you know their key projects or responsibilities? How about their past work experiences? The more you know about your co-workers, the more you will be able to tap into their strengths and capabilities to improve your own performance. At the same time you can be supportive of your co-workers’ work and goals, as well as contribute to building a team that works well together and achieves great results. By completing this course, you will know how to get to know your co-workers’ role, skills, and expertise. This course has been approved for 1 hour of PDU credit from PMI (Project Management Institute). This course is part of Vado's Onboarding learning track which has been approved for 6.25 hours of SHRM (Society for Human Resource Management) Professional Development Credits (PDCs), as well as 6.25 hours of HRCI (HR Certification Institute) recertification credits.",[],,[],employee onboarding,0
Item,Starting a New Job: Six Month Work Priorities (Part 6 of 7),"It’s been a while since you’ve started your new job. You’ve spent the last few months getting to know your co-workers, learning your new role, and finding out how to get things done. At this point you should feel mostly, if not completely, up-to-speed and ready to contribute at a high level. Now there are a lot of things you can do to be successful in your job, but knowing what work you must do is one of the more important items. Knowing what must be delivered and when helps anyone stay focused and achieve success within their role. Without this information, we tend to be unfocused, and may or may not deliver what we should. Add to the fact that once we settle in, our work priorities often change and become more challenging, so now seems like the perfect time to recalibrate on the work that must be achieved. By completing this course, you will be clear on your work priorities for the next six months. This course has been approved for 1 hour of PDU credit from PMI (Project Management Institute). This course is part of Vado's Onboarding learning track which has been approved for 6.25 hours of SHRM (Society for Human Resource Management) Professional Development Credits (PDCs), as well as 6.25 hours of HRCI (HR Certification Institute) recertification credits.",[],,[],employee onboarding,0
Item,Starting a New Job: Current Performance Review (Part 7 of 7),"Now that you’ve been in your new job for a while, it’s a good idea to take a moment and assess your progress so far. Thinking about what is going well and what needs improvement can help you stay focused on the right work, as well as help you proactively solve for any issues that may be impacting your overall success. Stay ahead of the curve and identify what actions you can take over the next few months to ensure you can deliver your work at a high level of performance. Spending a little time to evaluate your progress now, will pay off as you refocus your efforts and uncover what you can do to increase your personal success. By completing this course, you will know how to review your current level of performance and determine what you should do going forward. This course has been approved for 1 hour of PDU credit from PMI (Project Management Institute). This course is part of Vado's Onboarding learning track which has been approved for 6.25 hours of SHRM (Society for Human Resource Management) Professional Development Credits (PDCs), as well as 6.25 hours of HRCI (HR Certification Institute) recertification credits.",[],,[],employee onboarding,0
Item,Discussing Total Compensation: Market Range Compensation (Part 1 of 5),"Perhaps one of the toughest challenges for any manager is to deal with the issue of compensation. As we all know, compensation is a very personal issue, and while there are many issues impacting a person’s decision to engage, perform, and stay; compensation is a foundation element to our satisfaction at work. When employees believe their compensation is not what it should be, dissatisfaction and even anger can develop, thus making it difficult for the person to perform at his or her best. This course will help you discuss the market range salary with each employee. Remember, compensation is a very personal issue, and while there are many issues impacting a person’s decision to engage, perform, and stay; compensation is a foundation element to our satisfaction at work. When employees believe their compensation is not what it should be, dissatisfaction and even anger can develop, thus making it difficult for the person to perform at his or her best. By completing this course, you will be able to help employees know what the compensation market range is for their role.",[],,[],sales & marketing,0
Item,Discussing Total Compensation: Performance and Rewards (Part 2 of 5),"While there are many aspects to the topic of compensation, one important area is the connection between individual performance and rewards. That is, how are employees rewarded for individual achievements and performance? Although every company is different, the majority of organizations reward performance in some way. Clearly outlining the company’s policies and practices regarding performance rewards enables employees to know exactly what they must do and achieve to receive a desired bonus, merit increase or other company reward. This course will prepare to you discuss the connection between individual performance and rewards with both your team and individual employees. By completing this course, you will be able to discuss with your employees how individual performance impacts rewards and compensation.",[],,[],management,0
Item,Emerging Leaders Episode 4: The Importance of Being Present (UPDATED 7/2018),"This video is part of the Emerging Leaders series, Part 2: Interacting with your Employees! You’ve identified your rising stars. They’re excited for the chance to lead, and you’re ready to give them the opportunity. But how can you be certain they’ll be great leaders when they’ve never had a chance to lead before? Fortunately, our Emerging Leaders series will give them all the tools to become the kind of leaders others will be excited to follow. And we guarantee they’ll enjoy it.",[],,[],leadership,0
Item,Emerging Leaders Episode 5: The Danger of Too Much Fraternizing With Your Employees (UPDATED 7/2018),"This video is part of the Emerging Leaders series, Part 2: Interacting with your Employees! You’ve identified your rising stars. They’re excited for the chance to lead, and you’re ready to give them the opportunity. But how can you be certain they’ll be great leaders when they’ve never had a chance to lead before? Fortunately, our Emerging Leaders series will give them all the tools to become the kind of leaders others will be excited to follow. And we guarantee they’ll enjoy it.",[],,[],leadership,0
Item,Welcome to the Course,"Quick intro, main learning points, why you should be hyped.",[],,[],,
Item,About the Instructor,"Designer, not originally a coder. If I can learn this, you can too.",[],,[],,
Item,Why is Responsive Important?,"Google now requires mobile, plus it's considerate to mobile users.",[],,[],mobile application,0
Item,Wrap Up Section 3,Mark wraps up the content discussed in Section 3,[],,[],,
Item,Choosing the Right Parent Theme,Parent theme: easy to understand and be well documented.,[],,[],web design,0
Item,The Bare Necessities Of A Child Theme,A theme folder with style.css and functions.php.,[],,[],web design,0
Item,Pulling In The Parent's Framework,Adding the necessary code to styles.css and functions.php.,[],,[],web design,0
Item,How Is the Parent Theme Organized?,Study how the parent theme developer built their theme.,[],,[],web design,0
Item,Customize The Header and Footer,"Add our own features to the header, replace the copyright in footer.",[],,[],web design,0
Item,Index and Single Templates,Copy these page templates if you want to create custom templates.,[],,[],web design,0
Item,Create Your Own Page Templates,Create your own page templates with custom headers & footers.,[],,[],web design,0
Item,Create a Widget Page,"Widgets can go anywhere on your website, including in a page.",[],,[],web design,0
Item,Get Comfortable With The Developer Tools,"Chrome, Firefox and Safari all have their own dev tools.",[],,[],web application,0
Item,Identify Class & ID,Use the browser's dev tools to identify WP-created styles.,[],,[],web application,0
Item,Where Do Your Styles Go?,Decide between the WP's Customize styles or style.css.,[],,[],web design,0
Item,Change the Styles Without Breaking the Site,Be careful your styles don't interfere with the responsive behavior.,[],,[],web design,0
Item,Add Some Style to Your Images,Working With Images and Color,[],,[],web design,0
Item,Replace the Color Swatches,Create a custom palette of most-used colors in the visual editor.,[],,[],web design,0
Item,Make a Custom Image Size for Your Featured Image,Make a custom image size for the featured image and style it.,[],,[],web design,0
Item,Add Your Own Sidebars,Extend the parent themes sidebar function to add your own.,[],,[],web design,0
Item,Change the Copyright Line,Set the copyright line in the footer to whatever you want.,[],,[],web design,0
Item,Ready to Go Live?,Ready to go live? Move your website to the live server.,[],,[],web design,0
Item,Conclusion,"I hope you enjoyed your first look at designing with Sketch! Now that you’ve learned what makes Sketch unique and how to use its interface, menus, and plug-ins, you’re ready to start exploring the software and getting a feel for how it works. In the next chapter, we’re going to explain how to use Sketch’s layer list to keep your design files organized. Good organizational habits will help you to work efficiently and effectively in your career as a designer, regardless of what software you’re using. See you in the next chapter!",[],,[],web design,0
Item,Try It On Your Own,Now that you've gotten used to working with Artboards why don't you try it yourself in this fun and engaging exercise!,[],,[],web design,0
Item,Lets Try It,A Sketch document is nothing if there are no elements inside them. Explore Sketch by elaborating on the above principles and ensure your design has all of the functional pieces attached to it.,[],,[],web design,0
Item,Why don't you try it?,"​Download this file and not only continue fleshing it out the layout, but attach all of the elements to the corresponding styles to make sure the file is organized properly.​",[],,[],web design,0
Item,MEL Did You Know: Change Font  (6 slides),SAP_Basic_Navigation_Changing_Font_Color_and_Size.pptx,[],,[],web design,0
Program,MEL: Did You Know?,"MEL tips, tricks, and more!",[],,[],,
Item,A2. FACTS AND DATA,A2. FACTS AND DATA,[],Institutional,[],,
Item,A3. 5 S¬¥S WRKSHOP,A3. 5 S¬¥S WRKSHOP,[],Institutional,[],,
Item,A4. QUIALITY ROUTE,A4. QUIALITY ROUTE,[],Institutional,[],,
Item,PIECE FINISHING (R.E.S BOARD),PIECE FINISHING (R.E.S BOARD),[],Technical Training,[],,
Item,STARTES AND INVERTERS,STARTES AND INVERTERS,[],Technical Training,[],,
Item,GENERAL DIRECTION WELCOME,GENERAL DIRECTION WELCOME,[],Institutional,[],,
Item,CAP. ELE. 4-8|4-9|4-16,CAP. ELE. 4-8|4-9|4-16,[],Technical Training,[],,
Item,4.14-4.12 FLOOR,4.14-4.12 FLOOR,[],Technical Training,[],,
Item,JOB DESCRIPTION TRAINING,JOB DESCRIPTION TRAINING,[],Technical Training,[],,
Item,ISO 900 TRAINING,ISO 900 TRAINING,[],Institutional,[],,
Item,COLORS FOR CERAMIC,COLORS FOR CERAMIC,[],Technical Training,[],,
Item,VISION AND MISION,VISION AND MISION,[],Professional Development,[],,
Item,SUPERVISION SKILLS DEVELOPMENT,SUPERVISION SKILLS DEVELOPMENT,[],Professional Development,[],leadership,0
