Entity Type,Title,Description,Topic,Subject Area,Score
Item,Contact Centre Security Training,,security,,0.98887247
Item,Information Security and Governance for Support Office (Full version),"
      ",it security,,0.6113005
Item,Cooking - 11 presentation starters (TEST),This article is about how to start your presentation right.,"Art, Design & Media",,0.34157577
Item,Cooking - 11 presentation starters (TEST),This article is about how to control your nerves.,test equipment,,0.90996987
Item,Cooking - Presentation planning checklist (TEST),This checklist helps you prepare for your next presentation.,Soft Skills,,0.9953791
Item,Cooking - How to say nothing (TEST),This TED talk teaches you about body language.,presentation,,0.8086346
Item,How to say nothing (TEST),"Topic: Cooking, Baking

This TED talk teaches you about body language.",Soft Skills,,0.9458983
Item,Cooking skills (TEST),"This item contains the following content:


	Article: 11 presentation starters
	Article: controlling your nerves
	Worksheet: presentation planning checklist
	Video: how to say nothing",Soft Skills,,0.95794684
Item,Test item for content,This item can be used to test content as it will help multiple test items being created,Cannot be determined,,Score < threshold
Collection,Change (ANZ),,Humanities (Social sciences),,0.4212811
Program,Preview cover page 1,,"Art, Design & Media",,0.3772614
Program,Welcome to Specsavers - IT colleagues,"An Introduction to Specsavers IT for new colleagues to enable new colleagues in IT to understand :


	Our Ways of working
	Career development and SMART objectives
	History of Specsavers IT
	Who we are and how we work Our Technology
	Our place in delivering Specsavers vision
	Our current programmes and progress",career development,,0.99229616
Program,Welcome to Specsavers,Our Global online e-learning will help you to better understand the business and your role within it.,business,,0.99286425
Program,Welcome to Specsavers,Our Global online e-learning will help you to better understand the business and your role within it.,business,,0.99286425
Program,Welcome to Specsavers - P&O colleagues,This e-learning is for any collegue joining our people function to support you in understanding our ways of working so that your induction is the best it can be.,Soft Skills,,0.43302247
Program,Welcome to Specsavers - P&O team,This e-learning is for any collegue joining our people function to support you in understanding our ways of working so that your induction is the best it can be.,team dynamics,,0.6514939
Item,Smart Goals Template PDF,SMART_Goals_Tool_Template.FA.pdf,,Managing performance,Score < threshold
Item,SWOT Analysis Tool PDF,SWOT_AnalysisTool_Template.FA.pdf,,Managing performance,Score < threshold
Item,Specsavers Online Induction - NE Support Office,"This online module introduces you to the world of Specsavers and takes you on a journey through our history as well as stopping off through our different territories to understand our products, our customers and the services we offer.",microsoft office,,0.9744786
Item,PRODUCTIVITY: Why our brains love lists,"Read this short article to understand the importance of making lists to manage all of your competing prioirities. We also have copies of David Allen's 'Getting Things Done', which is referenced in the article,available to borrow in our library if you wish to do some further work in this area.

 

TAGS: Organise – Plan – Focus - Productivity –Time management – Scheduling – Effectiveness – Daily planning – Organising - Getting things done – Prioritising – Diary Management",,Performance and productivity,Score < threshold
Item,PRODUCTIVITY: 17 Small Tweaks That Will Change Your Year,A list of easy to implement life tweaks to get more out of your year.,,Performance and productivity,Score < threshold
Item,PRODUCTIVITY: Managing Email Effectively,"If you find that your day is controlled by your inbox, this article could help with some practical tips that you can implement immediately on how to minimise time spent trawling through emails.",,Performance and productivity,Score < threshold
Item,PRODUCTIVITY: Managing Interruptions,"This article helps you to identify potential interruptions through completing an ""Interruptors Log"" that may be causing you to lose time. There are also suggested techniques to manage these interruptions once you have identified them.",,Performance and productivity,Score < threshold
Item,PRODUCTIVITY: ABCDE Model,A method to try out for prioritising your task list to boost efficiency. Make sure you have your To-Do list completed and in view before you use this tool.,,Performance and productivity,Score < threshold
Item,PRODUCTIVITY: Who's got the monkey?,"This well known article originally published by the Harvard Business Review, tells the engaging story of an overburdened manager who has unwittingly taken on all of his direct reports’ problems. The article explores the concept of the importance of delegation.
We have copies of all of the books from Ken Blanchard's One Minute Manager series available to borrow from our library if you would like to spend some more time on this topic.",business,Performance and productivity,0.9850633
Item,PRODUCTIVITY: Action Priority Matrix,The Action Priority Matrix is a simple diagramming technique that helps you choose which activities to prioiritise.Read the guide before completing the template. Make sure you've got your To-Do list with you when completing.,,Performance and productivity,Score < threshold
Item,PRODUCTIVITY: Overcoming the Addiction to Insecurity Work,This video introduces the concept of Insecurity Work and limiting the amount of time we spend on it.,,Performance and productivity,Score < threshold
Item,PRODUCTIVITY: Activity Log Template,A template for recording your daily activity to assist in identifying areas for improvement in how you work and manage your workload.,"Art, Design & Media",,0.8400843
Program,Engage - Leadership Awareness,"There are four key skills we expect leaders to develop, strengthen and commit to in their role as part of Engage, with indicators for each one making them real in a day to day context. As a leader, why not take some time to think about these within the context of your own role, what you're currently doing well and what you'd like to do differently.

Remember, our self-discovery tool will help you to work out where your current strengths and development areas are in relation to how you engage, so you can feed this into your PDP and career plan.

1. I'm aware of who I am as a leader


	I’m authentic, vulnerable, honest and comfortable and lead with low ego
	I’m aware of my emotions, my impact on others, and take steps to manage my behaviour


The learning below is divided into 3 sections to allow you quick access to the most relevant content for your experience, your outcome from the self-discovery tool and your role in the organisation.",leadership,,0.9984536
Item,Emotional Intelligence at work,"In this short video (2m 15s) you will learn the key elements of Emotional Intelligence, why it is important for leaders to recognise and describe 5 elements that make up Emotional Intelligence.",emotional intelligence,,0.9665698
Item,Lewins leadership styles video ,"In this short video (2m 44s) you will learn about the 3 types of leadership styles identified by Kurt Lewin. While further research has identified more distinct types of leadership, this early study by Lewin was very influential and established three major leadership styles that have provided a springboard for more defined leadership theories.",leadership,,0.9989079
Item,Leadership Essentials,"This interactive self study elearning course provides an introduction to leadership. Using a range of realistic examples, scenarios and challenges, it is the ideal starting point to begin building your leadership skills.

There's around 40 minutes of learning for you here over a diverse range of channels. Fun and engaging you need to navigate around the shopping channel using your remote control, meaning you are in control of what you want to look at and how long you have to spend on learning today.",leadership,,0.9989422
Item,Leadership and Emotional Intelligence,"Research has shown that there is a definite correlation between Emotional Intelligence (EQ) competencies and the best leaders, and the organisations most successful at leadership all focus on cultivating EQ competencies. There are 6 defined leadership styles. The best results tailor a blend of different techniques to meet different situations.

This article takes a brief look at these 6 leadership styles as identified in the work by Daniel Goleman, Richard Boyatzis & Annie McKee in ‘The New Leaders: Transforming the Art of Leadership into the Science of Results’.",leadership,,0.83242375
Program,Engage - Relationships and Engagement,"There are four key skills we expect leaders to develop, strengthen and commit to in their role as part of Engage, with indicators for each one making them real in a day to day context. As a leader, why not take some time to think about these within the context of your own role, what you're currently doing well and what you'd like to do differently.

Remember, our self-discovery tool will help you to work out where your current strengths and development areas are in relation to how you engage, so you can feed this into your PDP and career plan.

2. I build big relationships with high engagement in order to make big requests


	I join the dots, collaborate and influence beyond traditional boundaries to deliver results
	I have a community of support that I can call on to help me with the challenges I face at work, to learn and grow
",soft skills,,0.99632037
Item,Specsavers Support Office ISG Refresher 2018 V10 Test,Specsavers Support Office ISG Refresher 2018 V10 Test,microsoft office,,0.95139873
Item,The MacLeod Review - Employee Engagement,The MacLeod Review - Employee Engagement.pdf,human resource management,,0.9790876
Item,The Seven Pillars of Employee Engagement - Self-Assesment,The Seven Pillars of Employee Engagement Self-Assessment.pdf,human resource management,,0.97838837
Item,The Seven Pillars of Employee Engagement,The Seven Pillars of Employee Engagement.pdf,human resource management,,0.95894706
Item,John Kotter - Leadership and Influence,John Kotter_ Leadership and Influence.pdf,leadership,,0.9992574
Item,Travel Safe,"Be Travel Safe is a selection of 4 courses being offered to provide education on the main health, security and travel risks you may face anywhere in the world and how to prepare for and mitigate them.


	Travel Wise - Travel Safety Foundation course
	Road Wise - Road Safety course
	Incident Wise - Responding to serious events
	My Travel Wise - Personal preparation for travel


The short courses feature animation to bring the learning to life, quick fire compliance quizzes and a resources section with links for further learning.",workplace safety,BUSINESS SKILLS,0.9848797
Item,Win-win negotiation video,"Is it possible to negotiate so that both parties feel the process has been fair?

This short video looks at strategies to ensure you develop a win-win negotiation style.",negotiation,,0.99812
Item,Understanding Optics: Guide to an Eye Test,"This video provides an overview of what happens in the testing room when a customer gets their eyes tested.
",test equipment,UNDERSTANDING OUR BUSINESS,0.8723603
Item,"Understanding Optics: Pre-test; Digital Retinal Photography, Lensmeter,Visual Fields Video","The video 'Pre-test; Digital Retinal Photography, Lensmeter,Visual Fields' provides an overview of how technology provides information to help the optometrist assess and monitor eye health for our customers.",photography,UNDERSTANDING OUR BUSINESS,0.94835395
Item,"Understanding Optics: Pre-test; Base Prescription, Astigmatism Check, Pressure Check","The video 'Pre-test - Base Prescription, Astigmatism Check, Pressure Check'  provides an overview of the pre-test process, particularly what is captured by the Tonoref machine.
",,UNDERSTANDING OUR BUSINESS,Score < threshold
Item,Creative Problem Solving ,This creative thinking learning bundle explores how convergent and divergent thinking assists with prooblem solving in the business context.,problem solving,Innovation and problem solving,0.99128294
Program,Engage - Inclusive,"There are four key skills we expect leaders to develop, strengthen and commit to in their role as part of Engage, with indicators for each one making them real in a day to day context. As a leader, why not take some time to think about these within the context of your own role, what you're currently doing well and what you'd like to do differently.

Remember, our self-discovery tool will help you to work out where your current strengths and development areas are in relation to how you engage, so you can feed this into your PDP and career plan.

3. I create an inclusive and positive environment where people can be at their best


	I know what’s important to people I work with, what they care about and what motivates them
	I flex my leadership style to manage different personalities and challenges in a global, matrix environment",soft skills,,0.8273938
Item,An introduction to Leadership Styles,Learn about various leadership styles in this short e-book.,leadership,,0.99907863
Item,An introduction to Leadership Styles,An Introduction to Leadership Styles.pdf,leadership,,0.999376
Item,EFFECTIVE COMUNICATION: A non-manager's guide to Great Conversations,,soft skills,,0.8007493
Item,RESILIENCE: Development ideas,"This guide provides a list of ideas to get you started on your development plan for Resilience. We have split it into 'Try It', 'Discuss It' and 'Study It' suggestions to help you choose a range of development actions that include both formal and informal learning. You do not need to do everything on the list, simply choose what will work best for your development need and make a start!",information technology,,0.8399002
Item,EFFECTIVE COMMUNICATION: 7 Email Habits You Need To Break - Article,This article provides a checklist with examples of what good and bad emails look like.,communications,,0.99584854
Item,RESILIENCE: 10 ways to become more resilient,This article explores key areas in resilience where you can develop your skills,Humanities (Social sciences),,0.41311812
Item,EFFECTIVE COMMUNICATION: Challenging Conversations ,An article debunking some myths on having challenging conversations with your team.,communications,,0.9181894
Item,RESILIENCE: Why success always starts with failure,An excerpt from the book “Adapt: Why Success Always Starts with Failure” by Tim Hartford,Cannot be determined,,Score < threshold
Item,EFFECTIVE COMMUNICATION: The 7 Cs of Communication - Article,This article provides a checklist with examples of what good and bad emails look like.,communications,,0.99934536
Item,RESILIENCE: The 7 habits of highly effective people,An audio overview of Stephen Covey’s 7 Habits,soft skills,,0.99705875
Item,EFFECTIVE COMMUNICATION: The Power of Positive Language - Article ,"Learn about how to alter your language to be positive and constructive, rather than abrasive, hostile or confrontational.",communications,,0.99535406
Program,Welcome to Specsavers,"The 'Welcome to Specsavers Programme' has been designed to provide you with important information about the Global Specsavers business, as well as giving you an understanding of your obligations as a Specsavers Team Member.

This program includes a combination of guides, resources, e-learning modules and a 1 day face to face workshop which you will need to register to attend.

Please ensure that you complete the mandatory learning within 30 days of your commencement with Specsavers.

Here's a snapshot of the learning you will undertake:

Mandatory


	Specsavers Online Induction
	Equal Employment Opportunity (EEO)
	Protecting Personal Information
	Work Health & Safety
	Quiz - Work Health & Safety
	Global Induction - Workshop


Optional


	Partnership Charter
	Video - Welcome to Specsavers
	Video - Should've Gone to Specsavers
	Vision & Values
	The Way we Work
	The Customer Journey
	Welcome to Specsavers - Additional Development Options


Should you have any issues accessing any of the development items, please contact the L&D Corporate Team at anz.learning@specsavers.com",,UNDERSTANDING OUR BUSINESS,Score < threshold
Item,RESILIENCE: Assessment of the 7 habits of highly effective people,A self-assessment to determine your performance against Stephen Covey’s “7 Habits of Highly Effective People”,soft skills,,0.99762684
Item,EFFECTIVE COMMUNICATION: Top 10 Tips for Handling a Difficult Conversation - Article,Learn some practical ways to approach a difficult conversation with someone.,communications,,0.9937115
Item,RESILIENCE: The third space,This video explains how to use The Third Space. The Third Space is that moment of transition between one role or task to the next role or task- managing your stress levels at this time is key to building resilience.,Soft Skills,,0.9036933
Item,COLLABORATION: 12 habits of highly collaborative organisations,This article gives a high level view of what makes organisations collaborative.,collaboration,Collaboration,0.9897349
Item,COLLABORATION: Development ideas,"This guide provides a list of ideas to get you started on your development plan for Collaboration. We have steplit it into 'Try It', 'Discuss It' and 'Study It' suggestions to help you choose a range of development actions that include both formal and informal learning. You do not need to do everything on the list, simply choose what will work best for your development need and make a start!",collaboration,Collaboration,0.9923328
Item,COLLABORATION: Problem solving through collaboration,A short 9 minute video that looks at how you can use visual collaboration to solve problems.,collaboration,Collaboration,0.9342757
Item,EFFECTIVE COMMUNICATION: Development Ideas,"This guide provides a list of ideas to get you started on your development plan for Innovation and Problem Solving. We have split it into 'Try It', 'Discuss It' and 'Study It' suggestions to help you choose a range of development actions that include both formal and informal learning. You do not need to do everything on the list, simply choose what will work best for your development need and make a start!",communications,,0.9864391
Item,EFFECTIVE COMMUNICATION: Business Writing Skills,"This short video provides some quick, easy to implement tips for writing effective emails",business writing,,keyword match
Item,EFFECTIVE COMMUNICATION: Using the Biff Model ,This case study will give you examples/scenarios of how the BIFF Model can be used. ,communications,,0.9949033
Item,EFFECTIVE COMMUNICATION: Identifying issues and outcomes,This guide will provide you with a framework to identify potential issues and outcomes before having a difficult conversation.,communications,,0.99858105
Item,EFFETIVE COMMUNICATION: Managing your responses,This guide will give you some techniques to adopt a 'mindset of enquiry' in order to be effective in a challenging conversation.,communications,,0.9984707
Item,EFFECTIVE COMMUNICATION: The BIFF Model,This guide will give you a structure to follow when providing feedback in the workplace.,communications,,0.9973954
Item,EFFECTIVE COMMUNICATION: Tips on having difficult conversations,This guide presents 12 ways to diffuse difficult people.,communications,,0.909912
Item,EFFECTIVE COMMUNCATION: Stop the Drama,This vdeo explores some way to handle difficult conversations.,soft skills,,0.9949208
Program,Engage - Deliver Results,"There are four key skills we expect leaders to develop, strengthen and commit to in their role as part of Engage, with indicators for each one making them real in a day to day context. As a leader, why not take some time to think about these within the context of your own role, what you're currently doing well and what you'd like to do differently.

Remember, our self-discovery tool will help you to work out where your current strengths and development areas are in relation to how you engage, so you can feed this into your PDP and career plan.

4. I build confidence in people so they can take ownership and deliver amazing results


	I help people realise they can achieve so much more than they think is possible
	I move out of the way and let people perform
",soft skills,,0.8594215
Program,Deliver - Goal Setting,"The important things to know about Deliver

There are four key skills we expect leaders to develop, strengthen and commit to in their role as part of Deliver, with indicators for each skill making them real in a day to day context. As a leader, why not take some time to think about these skills within the context of your own role, what you're currently doing well and what you'd like to do differently.

Remember, our self-discovery tool will help you to work out where your current strengths and development areas are in relation to how you deliver, so you can feed this into your PDP and career plan.

1. I keep the business running smoothly, whilst planning for a different and uncertain future


	I enable others to deliver both short and long-term priorities and goals
	Results are recognised as a reflection of collective effort and not mine
",internet of things (iot),,0.83877635
Program,Deliver - Purpose and Context,"The important things to know about Deliver

There are four key skills we expect leaders to develop, strengthen and commit to in their role as part of Deliver, with indicators for each skill making them real in a day to day context. As a leader, why not take some time to think about these skills within the context of your own role, what you're currently doing well and what you'd like to do differently.

Remember, our self-discovery tool will help you to work out where your current strengths and development areas are in relation to how you deliver, so you can feed this into your PDP and career plan.

2. I ensure purpose and context is at the heart of everything we do


	I communicate clearly and simply what is important and what we need to deliver
	I empower others to work flexibly in alignment with purpose and context",internet of things (iot),,0.83758885
Program,Deliver - Decision Making ,"The important things to know about Deliver

There are four key skills we expect leaders to develop, strengthen and commit to in their role as part of Deliver, with indicators for each skill making them real in a day to day context. As a leader, why not take some time to think about these skills within the context of your own role, what you're currently doing well and what you'd like to do differently.

Remember, our self-discovery tool will help you to work out where your current strengths and development areas are in relation to how you deliver, so you can feed this into your PDP and career plan.

3. I use internal and external insights, information and data to help decision making


	I don’t know all the answers and I’m open to new and different approaches
	Before making decisions, I consider the big picture, generate different options or strategies and evaluate their pros and cons",decision making,,0.98736537
Program,Deliver - Continuous Improvement,"The important things to know about Deliver

There are four key skills we expect leaders to develop, strengthen and commit to in their role as part of Deliver, with indicators for each skill making them real in a day to day context. As a leader, why not take some time to think about these skills within the context of your own role, what you're currently doing well and what you'd like to do differently.

Remember, our self-discovery tool will help you to work out where your current strengths and development areas are in relation to how you deliver, so you can feed this into your PDP and career plan.

4. I always ask myself and others, how can we do better next time?


	I create an environment where mistakes are welcomed as an opportunity to learn and improve
	I value and show appreciation to those who take the initiative to improve things",internet of things (iot),,0.9152184
Program,Future - The Big Picture,"The important things to know about Future

There are four key skills we expect leaders to develop, strengthen and commit to in their role as part of Future, with indicators for each skill making them real in a day to day context. As a leader, why not take some time to think about these skills within the context of your own role, what you're currently doing well and what you'd like to do differently.

Remember, our self-discovery tool will help you to work out where your current strengths and development areas are in relation to how you consider the future, so you can feed this into your PDP and career plan.

1. I lead for Specsavers and communicate the big picture


	I'm a master at context and purpose – I know why I lead and what's important to me and Specsavers now and in the future
	I spend more time thinking about the future than the present and articulate long-term direction with clarity and relevance",internet of things (iot),,0.68290186
Program,Future - Transformation,"The important things to know about Future

There are four key skills we expect leaders to develop, strengthen and commit to in their role as part of Future, with indicators for each skill making them real in a day to day context. As a leader, why not take some time to think about these skills within the context of your own role, what you're currently doing well and what you'd like to do differently.

Remember, our self-discovery tool will help you to work out where your current strengths and development areas are in relation to how you consider the future, so you can feed this into your PDP and career plan.

2. I look up and out to help transform the business


	I make connections in my thinking outside of my immediate world and look to the wider business, region and industry to learn and collaborate
	I recognise that what I can learn is more important than what I already know",digital transformation,,0.8685924
Program,Future - Big Challenges,"The important things to know about Future

There are four key skills we expect leaders to develop, strengthen and commit to in their role as part of Future, with indicators for each skill making them real in a day to day context. As a leader, why not take some time to think about these skills within the context of your own role, what you're currently doing well and what you'd like to do differently.

Remember, our self-discovery tool will help you to work out where your current strengths and development areas are in relation to how you consider the future, so you can feed this into your PDP and career plan.

3. I passionately believe in and take on our big challenges


	I'm constantly looking beyond the present at what's possible and enable others to do the same
	I encourage those I work with to question and challenge the status quo, to remove unnecessary constraints or barriers",internet of things (iot),,0.8686922
Program,Future - Culture,"The important things to know about Future

There are four key skills we expect leaders to develop, strengthen and commit to in their role as part of Future, with indicators for each skill making them real in a day to day context. As a leader, why not take some time to think about these skills within the context of your own role, what you're currently doing well and what you'd like to do differently.

Remember, our self-discovery tool will help you to work out where your current strengths and development areas are in relation to how you consider the future, so you can feed this into your PDP and career plan.

4. I consciously consider the environment and behaviours needed for success


	I work to create ways of working and behaviours that will help us respond to future challenges
	I proactively challenge constraints in my area and in the wider business
",internet of things (iot),,0.8306269
Item,Creativity Inc,"Told by Pixar’s co-founder and president Ed Catmull, at it’s
heart, Creativity Inc. is a book about overcoming the barriers that stand in the way of organisational creativity. It is a must read for any leader who wants to understand how to build and nurture a creative culture in their organisation.

Here we take an in-depth look at some of the book’s primary ideas and techniques for helping creativity flourish, as well as considering Catmull’s own unique style of
leadership.",creativity and innovation,,0.9681075
Item,Path Goal Theory ,UKSO_PGT_CO_01-Path-Goal-Theory.pdf,financial management,,0.7026197
Item,Path Goal Theory ,"In Path–Goal theory a leader is responsible for increasing staff performance either
by clarifying their path to the rewards that are available for achieving the task, or by
increasing or matching the rewards to the needs of the staff members. It is
essentially a sophisticated model for staff motivation.",performance management,,0.74268866
Item,An Introduction to Leadership Styles,UKSO_AITLS_CO_01-An-Introduction-to-Leadership-Styles.pdf,leadership,,0.9976476
Item,An Introduction to Leadership Styles ,In this short article you will learn about different leadership styles and how and when to use them depending on the context and situation you find yourself in. ,leadership,,0.9988906
Item,McKinsey and Co: the War for Talent,UKSO_MACTWFT_CO_01-McKinsey-and-Co- the-War-for-Talent.pdf,"Business, Finance, and Accountancy",,0.553711
Item,McKinsey and Co: the War for Talent,"The McKinsey Quarterly article, ‘The War for Talent’,arguably sparked the recent
surge in corporate focus on talent retention and talent management. This article
suggests that organisations with talented individuals, particularly executives and
CEOs, should do everything in their power to retain and develop this talent, since it
is in short supply and becoming more so.","Business, Finance, and Accountancy",,0.41921195
Item,Kelley's Five Follower Types,"All leaders need followers. As a leading authority on followership, Robert E Kelley
points out, ‘organisations stand or fall partly on the basis of how well their leaders
lead, but partly also on the basis of how well their followers follow.

Here we look at the five different types of follower, ranging from ineffective to effective, that Kelley has identified.",leadership,,0.7743141
Item,Engaging and Retaining Your Talent,"As a manager, your role, values and management style all have a significant bearing on the degree to which your team members feel engaged and motivated.

It follows, therefore, that trying to create a climate that makes staying worthwhile for
your team would be a good investment of your time and effort. The following top tips outline a number of things you can do to engage and retain your best talent.",management,,0.9369346
Item,13 Pointers for Talent Management,"New research by Ashridge Consulting [1] reveals a framework of 13 talent
management dimensions. [2] Each dimension represents a choice faced by
organisations regarding their approach to talent management. The findings
demonstrate that there is no ‘one size fits all’ methodology for talent management, and that many organisations view talent management as an overarching strategic priority rather than a series of ‘quick fix’, short-term initiatives.

The most effective approach to talent management is a unique blend of interventions, which are customised in relation to an organisation’s people, strategy, culture and technology.


The dimensions provide a useful starting point for the review of an organisation’s
approach to talent management, as well as highlighting areas for improvement. The four phases of the talent management journey are explained in this article, alongside the 13 dimensions.",management,,0.61777174
Item,The Evolution of Leadership,"Modern concepts of leadership have evolved in response to today’s fast-changing environment. This means that there are inevitable stresses between the concepts of leadership developed in the industrial age and those of today.

In 1988, Richard Daft and Robert H Lengel created a model which charts the evolution of leadership over the previous century.They look at leadership with regard to two factors: whether leadership works on a micro or a macro level, and whether environmental conditions are stable or chaotic. Micro leadership involves the leader in the detail of the organisation, whereas macro leadership is involved with the overarching vision, ideals and strategy of the business.",leadership,,0.998727
Item,The MacLeod Review -  Employee Engagement,"David Macleod and Nita Clarke have written a comprehensive report examining the
impact engaged or disengaged employees have on UK organisations. Here we
outline the key findings of the report, along with a summary of the recommendations
it makes.",human resource management,,0.970235
Item,The Seven Pillars of Employee Engagement,"Making sure that employees are engaged is an important part of leading a
competitive organisation. When employees can’t wait to get home, have little interest
beyond getting paid and don’t understand the decisions their leaders make, they
probably aren’t very engaged and the organisation’s performance is likely to suffer.

In his book, The Extra Mile: How to Engage Your People to Win, employee
engagement expert David MacLeod sets out to address this problem by identifying
‘seven pillars’ that support engagement in the workplace.",human resource management,,0.9756276
Item,The Seven Pillars of Employee Engagement Self-Assessment,"This self-assessment is based on the strategies outlined in The Extra Mile: How to
Engage Your People to Win. The book proposes seven engagement pillars which
are closely related to a leader’s behaviours and actions. When used authentically
and consistently, the pillars can improve a leader’s influence on employee
engagement.

Use the self-assessment to critically evaluate your activities and
actions in relation to each pillar, and develop a prioritised plan for improvement.
Allow up to one hour for completion.",human resource management,,0.9567632
Item,John Kotter - Leadership and Influence,"It is easy to see leadership and influence as inextricably bound together at a
fundamental level. Leaders in contemporary organisations must cultivate advanced
skills of influence and persuasion in order to motivate increasingly diverse
workforces.

The work of John Kotter has made an important contribution to the
appreciation of influential leadership in this contemporary context. His findings
contribute to our understanding not only of the nature of influence, but also of the
necessary components of successful leadership.",leadership,,0.99910825
Item,Understanding Optics,"

Understanding Optics

Learning Objectives:
• Appreciate the unique clinical aspect of our business
• Understand the eye-test process
• Know the lens types and options available to our customers
• Know the factors that impact vision and how these are corrected

To get started, click on the Outline of Development Options. This will give you suggestions for actions you can take to develop in this area. You do not need to do everything on the list, simply choose what will work best for your development need and start taking action!

If you can't find what you are looking for, complete an Individual Needs Request or a Team Needs Request form, available on Connect or from the 2017/2018 Guide.",business,Should've Gone To Specsavers,0.9737169
Item,Understanding Optics,"

Understanding Optics

Learning Objectives:
• Appreciate the unique clinical aspect of our business
• Understand the eye-test process
• Know the lens types and options available to our customers
• Know the factors that impact vision and how these are corrected

To get started, click on the Outline of Development Options. This will give you suggestions for actions you can take to develop in this area. You do not need to do everything on the list, simply choose what will work best for your development need and start taking action!

If you can't find what you are looking for, complete an Individual Needs Request or a Team Needs Request form, available on Connect or from the 2017/2018 Guide.",business,Should've Gone To Specsavers,0.9737169
Item,Understanding Optics: Development ideas,"This guide provides a list of ideas to get you started on your development plan for Understanding Optics. We have split it into 'Try It', 'Discuss It' and 'Study It' suggestions to help you choose a range of development actions that include both formal and informal learning. You do not need to do everything on the list, simply choose what will work best for your development need and make a start!",information technology,Should've Gone To Specsavers,0.7637357
Item,What is collaboration? ,"Collaboration is a working practice whereby individuals work together to a common purpose to achieve business benefit.

This short article describes the collaboration cycle.",collaboration,,0.99792165
Item,12 Habits of highly collaborative organisations ,"This article written for Forbes by Jacob Morgan takes his research across hundreds of companies and looks to answer the question 'How can organisations effectively collaborate?'

Jacob Morgan believes the answer lies in chess!",Soft Skills,,0.28221956
Item,UNDERSTANDING SPECSAVERS: Store visit checklist,The store visit checklist provides a framework and guidance on what you can do whilst in store. Complete the checklist before spending time in store.,,Should've Gone To Specsavers,Score < threshold
Item,UNDERSTANDING SPECSAVERS: The customer journey store experience,"This e-learning module will enable you to:


	Identify every stage of the customer journey and what happens during each stage
	Identify the areas your role can support  
	Step into the world of the store (all without having to leave your desk!)",customer service,Should've Gone To Specsavers,0.7917708
