Entity Type,Title,Description,Topic,Subject Area,Score
,Advanced Retail Management - HR Skills and Labor Relations  (SS),"The Advanced Retail Management Training Program is designed to prepare associates for the role of Store Manager. Selection to attend this program is determined through the Management Development process. This technical training program provides associates with detailed training on specific topics and also increases general knowledge of store operations. In addition, this training allows associates to network with other participants and also with the facilitators, who are subject matter experts.
",retail management,,keyword match
,SM Top-Off bijeenkomst 1,"Tijdens deze bijeenkomst wordt aandacht besteed aan:
* persoonlijke profielen
* filiaalplannen analyse uitwisselen
* kwaliteit van analyse aanbrengen

Ter voorbereiding op deze dag maakt de (A)SM de voorbereidingsopdracht: 'filiaalplan doelen en acties fictieve winkel 2012' en moet een test van Management Drives gemaakt worden. 

Duur: 1 dag (8 uren).",,DO NOT USE,Score < threshold
,SM Top-Off bijeenkomst 2,"Tijdens deze bijeenkomst wordt aandacht besteed aan:
* filiaalplannen, acties en doelen concreet maken
* wat kan je van je weg afbrengen? Wat laat je gebeuren?
* droom van je eigen winkel vormgeven

Ter voorbereiding op deze dag maakt de (A)SM de voorbereidingsopdracht: 'filiaalplan (totaal) maken voor eigen winkel'.

Duur: 1 dag (8 uren).",public relations,DO NOT USE,0.52254707
,SM Top-Off bijeenkomst 3,"Tijdens deze bijeenkomst wordt aandacht besteed aan:
* uitwisselen analyse, doelen en acties
* reflectie en verdieping kwaliteit
* uitwisselen 'pest practices'
* hoe neem je je ASM/kader mee (richting geven, dialoog, talent)

Ter voorbereiding op deze dag voert de (A)SM een gesprek met zijn OM en P&O. dit gesprek gaat over de stand van zaken van het plan en welke acties er nog ondernomen moeten worden.

Duur: 1 dag (8 uren).",,DO NOT USE,Score < threshold
,SM Top-Off bijeenkomst 4,"Tijdens deze bijeenkomst wordt aandacht besteed aan:
• wat gaat goed, wat is lastig en wil je bespreken met je collega's

Aan het einde van deze dag vindt het eindgesprek met OM en P&O plaats en is er een diploma uitreiking.

Duur: 1 dag (8 uren).",,DO NOT USE,Score < threshold
,Opleidingsprogramma Supermarktmanager ,"Korte introductie: In dit opleidingstraject wordt nieuwe supermarkt managers  geleerd een goed gefundeert winkelplan te maken.  Daarnaast wordt er aan de persoonlijke leiderschapsontwikkeling gewerkt, waarna de koppeling gemaaakt wordt naar de taken en verantwoordelijkheden van de SM.

Helycopterview, analyseren en korte versus langetermijn zijn aandachstpunten.

Benodigde voorkennis: het (A)SM opleidingstraject

Taal:  Nederlands

Leverancier: Interne trainers HRBP en OM /van Harte en Lingsma en Managementdrives

Locatie: Ahold locatie / Externe locatie 1 x Bespreekpunt week 3

Overnachting: Nee

Kosten totale recurring course: €1.200- per persoon. Deze kosten worden doorbelast op het kostenplaatsnummer van je afdeling.

                               

Min-max groepsomvang:  8 deelnemers - 10 deelnemers

",,DO NOT USE,Score < threshold
,Opleidingstraject Assistent Supermarkt Manager (ASM),"Het doel van de ASM-opleiding is om alle benoemde ASM’s te ondersteunen bij het invullen van hun nieuwe functie. Ook kan de opleiding gevolgd worden door frachise medewerkers.

De opleiding bestaat uit trainingen op externe locaties en werkplekmodules die in de winkel moeten worden uitgevoerd. Informatie over de opbouw van de opleiding en inhoud van de trainingen en werkplekmodules is opgenomen in in hoofdstuk 1 & 2 van het informatieboekje.

De ASM is zelf verantwoordelijk voor de uitvoering van zijn opleiding. Hij wordt hierin begeleid door de SM. De taken en verantwoordelijkheden worden verder beschreven in hoofdstuk 3 van het informatieboekje.

Tijdens de startbijeenkomst van de opleiding ontvangt de ASM een map met o.a. de werkplekmodules en voorbereidingsopdrachten voor hun opleidingstraject.

Dit materiaal, maar ook de voorbereidingsopdrachten, praktijkopdrachten, praktijkwaarnemingsformulieren en toetsen zijn ook te vinden op AH Plaza.",management,DO NOT USE,0.84049445
,Vakdiploma Drogist," In deze online cursus leer je alles wat je nodig hebt voor het behalen van het vakdiploma drogist. De opleiding bestaat uit drie modules die elk ongeveer 2 maanden duren. Elke module wordt afgesloten met een examen. Er wordt verwacht dat je elke week tussen de 8 en 10 uur besteedt aan je studie. In het informatieboekje kun je meer lezen over deze opleiding. Je vindt dit boekje op Etos Plaza.

Taal: Nederlands

Leverancier: IMKO Opleidingen

Kosten: € 1.242,45 inclusief examens.
                                
Aanmeldingsprocedure: Klik op Inhoud starten. Na goedkeuring van je manager in ELM kun je starten met de opleiding.



Het Vakdiploma Drogist vormt de basis voor de, door het ministerie van Volksgezondheid, Welzijn en Sport (VWS) verstrekte, geneesmiddelenvergunning en dus de bevoegdheid om zelfzorggeneesmiddelen te mogen verkopen.



Het niveau van deze opleiding is vergelijkbaar met MBO niveau 4, maar het is geen volledige MBO-opleiding (diploma geeft dus ook geen toegang tot een HBO-opleiding).



De opleiding tot drogist is opgesplitst in drie delen: Drogist en Zelfzorg 1, 2 & 3. De delen zijn zo opgebouwd dat het niet noodzakelijk is om ze in een bepaalde volgorde te doorlopen. De aankomend drogist bepaalt zelf met welke deel wordt gestart. 



",public relations,DO NOT USE,0.6079515
,Capability Assessment Training,"The What, Why, and How to use the Capability Assessment.

This training explains why this assessment was created and how to complete it. The goal is to ensure a consistent assessment process across the organization using the same categories of measurement, as well as defined levels of differentiating performance to allow us to assess talent for roles.

Language: English

Keywords: None

Need help? Click here",management,Setting Strategic Direction,0.50365454
,Advanced Retail Management - Merchandising for Profit (SS),"The Advanced Retail Management Training Program is designed to prepare associates for the role of Store Manager. Selection to attend this program is determined through the Management Development process. This technical training program provides associates with detailed training on specific topics and also increases general knowledge of store operations. In addition, this training allows associates to network with other participants and also with the facilitators, who are subject matter experts.
",retail,,0.5799275
,Nascholing Drogist,"Nascholing op het diploma Drogist heeft een wettelijke status. In de Wet op de Geneesmiddelenvoorziening (WOG) is vastgelegd dat de drogist de bevoegdheid heeft om niet-receptgeneesmiddelen af te leveren.

Het Vakdiploma Drogist vormt de basis voor de, door het ministerie van Volksgezondheid, Welzijn en Sport (VWS) verstrekte, geneesmiddelenvergunning en dus de bevoegdheid om zelfzorggeneesmiddelen te mogen verkopen.

Het niveau van deze opleiding is vergelijkbaar met MBO niveau 4, maar het is geen volledige MBO-opleiding (diploma geeft dus ook geen toegang tot een HBO-opleiding).

De opleiding tot drogist is opgesplitst in drie delen: Drogist en Zelfzorg 1, 2 & 3. De delen zijn zo opgebouwd dat het niet noodzakelijk is om ze in een bepaalde volgorde te doorlopen. De aankomend drogist bepaalt zelf met welke deel wordt gestart. 

",,DO NOT USE,Score < threshold
,Nascholing vakopleiding assistent drogist Etos,"
Korte introductie:Onder het motto ‘Zorg dat je bijblijft’ is deze volledig digitale en interactieve nascholing beschikbaar. Hiermee hou je continu je kennis en adviesvaardigheden actueel zodat je je klanten altijd het beste advies kunt geven. Ook blijf je op de hoogte van interessant nieuws uit de drogisterijwereld via de speciale nieuwspagina. En: de nascholing kun je ook op je smartphone of tablet doen. Lekker makkelijk!

De stof is zo verdeeld dat je elk jaar een stukje doet en continu bezig bent met het bijhouden van jouw kennis en vaardigheden. Ieder jaar rond je circa vijf magazines af. Die kun je gedurende het jaar doorlopen op een moment dat het jou uitkomt.


Taal: Nederlands

Leverancier: CBD

Kosten: € 39,32 per jaar.
                               
Aanmeldingsprocedure: Klik op Inhoud starten. Na goedkeuring van je manager in ELM kun je inschrijven en starten met de opleiding. Na 1 jaar verleng je jouw abonement. 
 ",,DO NOT USE,Score < threshold
,On the Job: Top Team Fruit & Vegetables - Spring/Summer 2017,,Cannot be determined,,Score < threshold
,Advanced Retail Management - Perishable Product Knowledge (SS),"The Advanced Retail Management Training Program is designed to prepare associates for the role of Store Manager. Selection to attend this program is determined through the Management Development process. This technical training program provides associates with detailed training on specific topics and also increases general knowledge of store operations. In addition, this training allows associates to network with other participants and also with the facilitators, who are subject matter experts.
",retail management,,keyword match
,Code of Ethics Policy Disclosure Course  2012 ,"This course will include a review of the Ahold USA Ethics & Disclosure Policy, the Electronic Communications Policy, and a Summary of Disclosures and Conflict of Interest Rules. You will be asked to acknowledge that you have read and understand all aforementioned documents. At the end, you will be asked to complete the Conflict of Interest Questionnaire 2012.",ethics,,0.99296737
,Teamavond NIX18 - 100% ID Alcohol en Tabak,"Organiseer een teamavond alcohol en tabak om jouw team de wetgeving rondom aankoop van alcohol en tabak en de richtlijnen rondom legitimatieplicht te leren! Samen gaan we voor 100% ID controle!

Deze teamavond wordt in de winkel georganiseerd door Teamleider Verkoopafhandeling en eventueel ondersteund door (A)SM.

Gebruik de volgende hulpmiddelen om de teamavond voor te bereiden (klik op de blauwe paperclip hieronder):
* Handleiding Teamavond 100% ID
* Fotoboekje Teamavond 100% ID (in kleur te bestellen via de bestellijst opleidingsmaterialen op SAM)

Na de teamavond kennen de deelnemers het volgende:
- Wet- en regelgeving rondom verkoop van alcohol en tabak aan jongeren
- Richtlijnen rondom legitimatieplicht bij verkoop van alcohol en tabak aan jongeren
- Bewust van de positieve en negatieve ervaringen van caissières bij het vragen naar ID
- Weten welke oplossingen andere caissières hier zelf voor hanteren
- Zijn op de hoogte van de ondersteunende rol die het management (TL's & (A)SM's) hierbij heeft

Aanleiding voor het organiseren van deze Teamavond:
- De winkel scoort nog geen 100% bij een controle door een derde partij (bijv. audit) bij het vragen naar legitimatie aan de kassa.
- Na observatie door de Teamleider/(Assistent) Supermarktmanager is gebleken dat caissières niet naar ID vragen of dat zij de procedure omtrent kassablokkade niet correct opvolgen.

Aanmeldingsprocedure: De winkel organiseert zelf lokaal een teamavond.

Voorkennis: Caissières zijn bekend met de wetgeving en het beleid van AH rondom legitimatieplicht doordat zij de opleiding caissière (A en/of B) gevolgd hebben.
Trefwoorden: <add words that help users find this learning, don’t repeat title or description>

Hulp nodig? Klik hier",,AH NL Caissière A,Score < threshold
,Advanced Retail Management - Shrink Trax/Smart Store (SS),"The Advanced Retail Management Training Program is designed to prepare associates for the role of Store Manager. Selection to attend this program is determined through the Management Development process. This technical training program provides associates with detailed training on specific topics and also increases general knowledge of store operations. In addition, this training allows associates to network with other participants and also with the facilitators, who are subject matter experts.
",retail,,0.58870214
,Škola stylu pro oddělení non-food II.,,"Art, Design & Media",,0.71669745
,OUT OF SERVICE GCTP Frozen Grocery and Dairy Associate Course and Assessment,GCTP Frozen Grocery and Dairy Associate Course and Assessment Description,Cannot be determined,,Score < threshold
,Advanced Retail Management - Walking the Store (SS),"The Advanced Retail Management Training Program is designed to prepare associates for the role of Store Manager. Selection to attend this program is determined through the Management Development process. This technical training program provides associates with detailed training on specific topics and also increases general knowledge of store operations. In addition, this training allows associates to network with other participants and also with the facilitators, who are subject matter experts.
",retail,,0.6009071
,SSGL Cash Office Refresher,SSGL Cash Office Refresher 2011,microsoft office,DO NOT USE,0.73550075
